#OTU ID	F0203-T0	F0203-T6	F0204-T0	F0204-T6	F0407-T0	F0407-T6	F0408-T0	F0408-T6	F0509-T0	F0510-T0	F0611-T0	F0612-T0	F0713-T0	F0713-T6	F0714-T0	F0714-T6	F0815-T0	F0816-T0	F0917-T0	F0918-T0	F1019-T0	F1020-T0	F1121-T0	F1121-T6	F1122-T0	F1122-T6	F1223-T0	F1223-T6	F1224-T0	F1224-T6	F1325-T0	F1326-T0	F1427-T0	F1427-T6	F1428-T0	F1428-T6	F1529-T0	F1529-T6	F1530-T0	F1530-T6	F1631-T0	F1631-T6	F1632-T0	F1632-T6	F1-T0	F10-T0	F11-T0	F12-T0	F13-T0	F14-T0	F15-T0	F16-T0	F17-T0	F19-T0	F2-T0	F20-T0	F21-T0	F22-T0	F23-T0	F24-T0	F25-T0	F26-T0	F3-T0	F4-T0	F5-T0	F6-T0	F7-T0	F9-T0
1CMET2-PWY	16094.7627	17830.9958	10169.3192	9147.6657	17060.01	11849.9238	31021.1727	15240.0055	24826.1028	15245.8515	16413.0763	12020.1162	16384.45	9420.3523	17278.1812	21062.4665	16946.2682	10488.9979	15195.6958	16834.2995	20153.3653	41061.1163	17458.6798	15947.0151	19162.1259	22228.3824	18090.002	18321.4512	9516.1806	13644.7959	4413.3472	17008.8848	9519.7731	8573.5742	11351.3505	8667.3463	12673.0868	13828.3572	16833.134	12337.8494	8936.9014	12358.0374	6535.2127	12393.1233	13763.5896	15728.0996	16022.2939	16914.8843	27331.0704	10310.3347	19871.5104	21542.1324	26436.911	18428.7163	10904.3693	16783.1126	13311.836	18848.1338	20288.7573	9714.4152	20677.8392	12910.2507	9441.4179	20494.477	22425.8935	15795.0718	19323.445	16865.1721
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.741	271.4023	26.6652	0.0	0.0557	1.2137	0.0311	0.0	0.5726	1.8757	0.0	0.0	2.1228	1.8792	5.8786	1.2765	2.8945	0.0	11.0127	28.9236	529.9346	0.8092	8.8986	76.3333	6.3293	1.2972	0.1891	9.2392	1.6035	13.2726	0.0	207.8081	183.6698	0.2743	27.5062	19.3873	109.3127	0.0253	12.6685	1.1938	0.6887	2.0581	10.9202	442.227	0.0901	263.7863	0.088	0.9988	1.2815	3.3426	31.9882	81.7174	120.6679	731.1584	121.4099	885.5472	2.5821	253.1614	121.817	403.5377	630.0301	30.013	0.0	249.4602	1.1655	2052.4597	0.2593	18.0915
AEROBACTINSYN-PWY	157.7395	284.0343	88.5547	6.1411	257.7973	37.8519	149.4567	387.6968	53.4872	218.0074	203.8215	77.9409	12.1615	60.2335	404.5948	133.2575	108.0881	258.8112	0.0	41.0129	571.4592	290.7738	136.934	369.0968	64.2765	322.1744	12.8314	10.0444	50.6059	50.714	1.7707	25.1832	10.1835	81.7218	114.5776	98.3755	352.043	0.0	38.574	0.0	0.0	15.5619	28.9358	282.2463	192.3413	49.6485	5.2522	423.1825	0.0	125.0962	900.9808	114.6879	279.0291	435.7106	3409.0728	336.0678	17.2077	1936.2943	0.0006	266.4411	403.5187	337.2463	32.9832	728.069	8.8647	10.5202	0.0	549.0008
ALL-CHORISMATE-PWY	1254.7636	2248.737	845.0071	427.7184	2126.3443	730.7197	2559.499	3033.3768	1288.1938	1314.531	1109.9068	631.4512	538.5573	626.5117	3394.2987	2090.2699	978.2718	1882.3153	445.2035	1179.4094	4032.5004	5173.1015	1957.4357	3157.1742	1160.9758	3006.4776	494.7857	538.9924	453.4273	809.7719	80.7639	993.4359	653.4112	602.4501	852.1931	644.9599	2149.9026	194.5405	823.1031	0.0	320.3444	521.9202	527.7254	2006.8313	1263.9525	2094.5964	325.3234	2260.8041	361.3093	1971.2315	4160.4661	2369.628	2190.8708	2419.6812	6342.43	2949.4511	684.2071	5733.2731	1552.3671	2803.2234	3409.7947	3198.9182	176.6984	3821.0686	1173.7814	4546.5978	0.0	3038.5671
ANAEROFRUCAT-PWY	17160.5647	17712.6948	10989.5896	10082.3574	20462.5378	13440.1027	33065.9106	16655.609	23964.5539	15229.6673	17906.1293	10973.8864	17172.6729	10049.6957	17983.6743	23302.7823	19632.6158	12051.1595	12681.342	17664.661	21462.288	35390.0554	18252.6195	16186.8516	18602.9485	20471.2876	20831.0147	22051.2617	8713.5643	14086.3971	3848.4401	19941.9638	11908.1052	10236.4313	13123.2802	10367.5915	14881.5178	14568.0605	18807.4958	13603.0898	9370.2706	13753.2918	6411.6131	12791.9003	10532.6461	14987.1528	16048.0581	17038.4268	26438.1928	10163.0373	20579.891	20223.6678	28141.6895	19959.4178	11777.1178	16844.4573	13402.0619	19741.1435	21201.5856	9547.9583	21324.1708	14174.0271	8326.5338	20025.7399	24965.3077	18137.4036	22520.1568	17754.8311
ANAGLYCOLYSIS-PWY	22798.2968	27003.0343	15530.9943	13328.2905	24724.7093	15403.8246	43418.5631	21147.7923	33626.3352	18377.7502	21136.162	15124.971	23602.0113	13362.4069	24600.0793	31593.283	23195.5899	15215.8162	23078.4459	26456.4759	29693.3963	52250.3788	23594.487	21835.4993	25552.5177	29443.7819	25669.7822	26578.2191	12462.5397	18508.3592	5405.1659	25783.0824	12895.4587	11822.1619	14932.6768	11322.1949	18423.127	19578.7873	27598.8909	18171.0808	12389.8992	17504.4277	8822.667	18275.8475	20504.2243	22821.1286	23019.2137	22612.0492	36530.7829	14081.3614	28801.651	32426.3849	36898.5335	26835.6769	14961.8089	23369.0481	19724.8846	26065.1339	29100.9409	12326.8127	28458.205	18052.1201	13584.006	26215.675	31232.3421	22703.4169	26962.1344	23825.5565
ARG+POLYAMINE-SYN	5011.6494	7019.5471	4010.0879	2731.1464	9995.4631	6346.0135	14533.8013	7888.9229	5525.6179	5520.3455	5612.4882	3435.7079	7520.3253	2977.0071	6489.2954	8174.1615	7400.2179	5831.7588	5727.3718	7817.5069	8127.7029	8492.1818	6167.3869	6044.7026	4205.2431	6515.1263	6465.1087	9766.8117	4221.9541	3776.1397	690.5898	5053.7361	5283.368	4257.1012	4953.7375	3473.3236	4495.7494	6732.8032	6851.329	7209.5363	3375.6338	4115.5102	3260.4554	5901.4123	1841.5482	5474.7494	5445.9866	7174.8311	5919.0853	2503.8338	8274.7002	8261.1158	8375.9782	5393.2852	7177.2741	7546.5714	7477.8182	11158.8589	6971.1236	3253.6046	7396.7249	5049.1217	3137.183	7094.8067	4746.2426	8104.7262	3135.8729	5622.531
ARGDEG-PWY	0.0	267.4558	101.8949	0.0	3.7177	0.0	1.8611	0.0	0.0	1.0925	0.0	0.0	0.0	0.0	9.1063	0.0038	0.0	0.0	0.0	6.7709	785.6586	3.1207	0.757	0.6737	0.0	0.0049	0.0006	0.0	1.2522	0.0	0.0	228.3569	209.252	1.8558	95.8096	79.6422	424.7215	0.0	38.8716	0.0	0.0	0.0009	0.4407	732.3807	0.0014	257.7307	0.0012	0.0	0.0	0.002	0.0014	248.2992	294.0916	1193.3678	367.186	1632.334	0.0009	950.3779	249.8738	697.3629	1030.9113	0.0515	73.6743	842.2006	4.3896	2808.7536	0.0	25.35
ARGORNPROST-PWY	3169.0456	4821.4935	2502.4836	2201.1687	2437.6125	1885.8806	4094.5044	2405.4919	5465.3783	3417.4131	2377.4273	2122.6521	3286.6912	1885.919	6063.2739	6746.2312	5726.0341	1960.7483	5815.8238	6166.1048	5123.5475	7466.7292	4590.3083	4852.0503	4799.1928	4274.4582	1631.2631	1664.7861	1813.8002	3091.2176	579.4265	4221.281	1454.5774	1763.8559	2133.4127	1539.2351	3913.578	2629.9192	4886.8683	1995.1958	2024.9235	2485.6172	1720.2539	3537.2014	3826.2656	3418.3043	4658.1582	5338.24	7695.439	4366.1302	6352.9212	5451.575	11659.2563	3789.7047	5328.8197	4244.4094	4597.6194	6121.3913	3492.3861	3398.2873	6288.0376	3587.6524	1385.1178	8465.0411	6117.6372	3231.9247	4006.0472	6638.2701
ARGSYN-PWY	15648.1071	17217.0144	11119.9706	8774.3656	15108.0391	10264.1561	29897.7748	14330.691	24712.7582	11379.3323	14309.8712	8783.7106	15685.3319	8846.9965	18095.6443	22921.2728	17403.1839	9960.4282	18584.856	19062.6549	19446.3918	38735.0533	18544.0377	17181.6981	16203.4325	19408.1547	14023.2687	13916.3582	7468.6002	12786.896	3924.336	15627.1214	8008.6471	7605.559	10268.8238	6113.6404	13114.0196	12413.0691	19464.611	12504.5575	9497.0569	12336.0876	6358.9254	12319.5249	15767.5542	16183.2294	16752.4109	16044.1494	27182.8719	10606.7454	20464.1105	24760.2631	29718.4771	18775.9031	11455.9633	17606.9747	16390.7193	17399.509	21510.8406	9781.2048	19665.0236	13568.3866	9252.4603	20507.4175	23671.3671	14550.0039	17608.6558	16423.8102
ARGSYNBSUB-PWY	15466.6185	16457.3954	10951.4961	8559.4355	14886.8349	10528.5902	30444.9512	14445.2317	25146.0146	10661.9601	14150.9	7604.9975	15796.4893	8469.3823	18523.236	22993.7342	17994.1091	9906.343	18481.7628	18786.582	19047.0446	41105.1057	19274.6501	17952.1209	15565.2927	17951.8466	11958.0633	12551.263	6589.7999	12542.8757	4215.9378	14777.1561	7516.4626	7205.7288	10288.104	5432.8225	12937.3164	11666.5624	18657.1944	12270.8325	9528.3477	12172.9599	6302.2669	12008.2254	16320.2231	16662.2729	16615.7189	15666.7886	28412.9315	11435.1281	20736.5917	24825.6812	30147.1997	18674.7011	11787.1908	17636.707	16987.3412	17095.8444	21348.5114	10397.812	19300.1767	14074.4826	9120.3461	20661.2752	23773.2094	14241.4354	17398.5978	16170.249
ARO-PWY	19472.6081	22961.819	13396.2028	10981.2487	20219.7533	12941.4518	35684.4692	17315.3772	29102.0906	15248.6666	18692.6096	11660.5712	19736.2821	11633.1726	19539.9237	24792.817	22482.1563	12894.431	21579.6273	22094.4079	23788.9041	43757.1991	20909.7295	19251.7526	20331.1061	23272.8263	18706.2853	20272.9767	10310.3186	15620.8706	4506.3142	19849.428	10729.9787	9734.4004	12865.9166	8202.4855	14965.6179	16356.8432	25848.5789	16125.8884	10938.9944	15189.6986	7580.9572	15258.6728	18394.4562	19102.5193	18252.8597	19452.4281	30758.2108	12044.7287	24562.7361	29816.1549	32171.7959	23906.8201	12366.4648	21402.6598	18255.3699	22147.9816	26446.9854	10812.2803	24337.884	14943.179	11926.2853	25356.8323	27000.9753	19639.0133	21222.0722	20191.378
ASPASN-PWY	18248.8166	19113.3357	11253.2279	10317.9953	18207.0651	10988.2007	29614.6034	14250.6186	23797.4937	15896.0546	18522.4579	12912.2186	16807.2247	12003.7264	13055.9695	18500.1662	15810.096	10153.3726	17714.7036	16591.6957	21646.9575	26858.6699	14337.62	12448.9964	20906.0321	26891.65	19856.8391	22165.7329	10080.563	14384.0663	2763.7506	20784.8625	14853.6365	11088.013	12342.8481	8588.7456	13032.0232	16862.752	19169.917	13477.3758	9101.8404	13557.5895	5900.2299	13282.1601	9552.6191	11457.6874	11880.9447	16693.257	21007.9609	6372.8784	16892.515	17758.4428	22986.3128	17876.9207	8498.4925	16149.7357	13253.7182	19839.0294	21576.0894	6055.7824	20979.0001	8787.9596	9843.7058	16926.4373	19497.4613	15664.2095	17211.7307	15542.3642
AST-PWY	157.7398	491.8747	99.1753	6.0149	261.4679	71.6746	190.1386	387.94	61.5135	231.3166	203.95	85.336	23.9205	63.225	417.1017	146.6832	108.0	258.95	5.278	73.6827	1127.5396	291.6267	145.3548	392.2734	68.2641	354.6023	12.7661	16.1855	50.1464	61.8739	1.75	20.0	72.2121	82.1566	115.997	102.0832	362.2203	0.0	42.7651	0.0	0.0	15.9824	91.5743	477.0623	192.4634	209.7671	5.253	404.684	0.0	127.4701	906.3325	127.5478	318.051	538.9293	3592.1193	1171.7348	16.4096	2098.4442	108.8455	505.8435	545.2112	341.6513	33.0	856.8286	8.5563	3166.0919	0.0	563.9401
BENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	7550.7286	8553.6684	3045.3979	4828.8972	8162.941	7032.418	18891.9754	9494.3066	12767.4953	12492.279	15476.7585	9625.4573	7355.5184	6057.8714	8940.3055	11930.2922	5027.2079	5516.0889	3044.9453	5434.546	9571.7901	30554.4893	8903.0189	8065.2753	8621.5445	11197.3081	12862.9964	12559.4472	5685.6892	8739.11	2870.6798	10917.8675	6794.2535	5377.925	10316.1973	8027.0462	6897.2361	6705.6772	2385.9343	5167.4351	4774.6779	7413.4444	2636.6715	6100.1288	3720.3255	6354.1502	3707.8378	8779.1348	12992.2682	1293.392	10302.5164	8643.773	7866.4462	8955.6861	6744.9138	6222.9501	6883.1319	10969.887	11046.2615	4376.5202	10981.755	7327.0662	3682.2806	11738.3685	4916.2969	8817.6418	1883.2477	10300.7391
BRANCHED-CHAIN-AA-SYN-PWY	20617.8955	23622.952	14019.8167	11590.0103	19628.1973	12687.9619	37480.4311	18224.4303	31555.6918	16331.3264	20173.6099	13524.4671	20946.2534	11823.342	22891.8208	29555.5348	19352.194	13084.3963	21551.3535	24278.8723	25658.5952	52398.8427	22579.4777	20882.9077	22889.5586	26589.0966	21431.5678	20390.2441	10920.5337	16738.0654	5258.6578	21772.8376	10861.8403	10333.2635	14163.9917	9488.764	16843.8512	17228.7282	23392.9569	15434.8786	11390.948	16040.256	7999.6486	16252.972	20680.8013	20535.3335	20109.0923	20766.1466	34557.3548	14077.3161	26447.1053	31525.9089	35037.9371	24952.12	13569.9254	21806.2459	18687.5656	23056.0405	27102.9565	11992.5604	25916.6703	17154.1702	12230.5024	25452.1334	29868.4485	20286.4051	24148.6472	21101.371
