#OTU ID	FOB07-T12	FOB21-T0	FOB21-T6	FOB23-T0	FOB23-T12	FOB23-T6	FOB24-T0	FOB25-T0	FOB26-T0	FOB26-T6	FOB27-T0	FOB27-T6	FOB28-T6	FOB29-T0	FOB29-T6	FOB30-T0	FOB30-T6	FOB31-T0	FOB31-T6	FOB32-T0	FOB32-T6	FOB33-T0	FOB33-T6	FOB34-T0	FOB35-T0	FOB01-T6	FOB02-T12	FOB02-T6	FOB03-T12	FOB03-T6	FOB04-T12	FOB04-T6	FOB05-T0	FOB05-T12	FOB05-T6	FOB06-T0	FOB06-T6	FOB08-T6	FOB09-T12	FOB09-T6	FOB10-T0	FOB10-T12	FOB10-T6	FOB11-T0	FOB11-T12	FOB11-T6	FOB12-T0	FOB12-T12	FOB12-T6	FOB13-T0	FOB13-T12	FOB13-T6	FOB14-T0	FOB14-T12	FOB14-T6	FOB15-T0	FOB15-T12	FOB15-T6	FOB16-T0	FOB16-T12	FOB17-T0	FOB17-T12	FOB17-T6	FOB18-T0	FOB18-T12	FOB18-T6	FOB20-T0	FOB22-T0	FOB22-T12	FOB22-T6	FOB36-T0	FOB25-T12	FOB26-T12	FOB27-T12	FOB28-T12	FOB29-T12	FOB30-T12	FOB31-T12	FOB32-T12	FOB34-T6	FOB35-T6	FOB36-T6
1CMET2-PWY	17261.5803	17586.4307	17020.3289	12424.3905	11600.3852	14279.5138	16183.8479	11279.3059	7877.5294	11519.8675	6975.7615	14162.4389	12891.6973	10424.8628	10779.4897	11540.4884	15941.3205	13044.7709	15558.4339	17809.4356	34553.8643	15278.939	15668.7103	10179.7692	12296.3306	37294.5192	19438.9648	14866.431	21045.1733	23251.6402	23019.3773	22177.6601	17014.6551	14985.5572	36390.1432	18097.957	23025.3485	23398.5215	25925.8372	17298.2793	13097.5938	20053.9733	13388.1543	20797.314	12402.8716	15049.3494	15807.1986	23692.6469	14691.2384	14630.7758	30850.9433	18652.8222	14374.0911	36215.5886	13208.7914	21901.7229	21539.3283	36793.852	10988.6095	30403.8609	15527.737	34278.7136	8551.5888	9553.5812	13887.5597	37197.9143	9660.9315	9449.0261	8785.1536	16141.1083	13644.7296	20759.3715	10131.2973	4274.7727	21525.972	8003.3472	10038.9581	9274.549	12646.3406	17634.509	9108.5596	10700.3179
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	72.6105	157.3902	36.852	18.7506	31.5447	0.5643	0.6837	27.3002	85.671	3.7425	2.8568	7.4044	913.0756	4.3799	15.8802	1.5105	79.6271	18.9828	2.5903	90.216	654.5179	0.1892	146.2006	105.2224	31.8406	73.7167	64.7129	561.3009	12.554	18.2749	0.6001	260.7488	11.6156	130.5901	681.6915	4.7311	821.6079	207.4782	234.7775	391.9249	54.7038	377.7324	2.9598	49.9941	16.6938	12.3486	4.1917	31.0169	46.79	0.4387	26.8615	0.0651	1.5297	67.3755	831.0665	117.3689	94.0762	137.1719	3.0116	17.7889	12.115	959.2013	59.6305	2.383	25.6731	483.8909	0.6278	22.7275	6.879	1142.2854	54.2183	52.0995	0.0	7.6152	177.4222	5.3875	25.7418	3.9447	5.8919	16.5294	65.0976	28.0919
AEROBACTINSYN-PWY	8.5779	27.347	14.8319	0.0519	11.1654	0.5917	1.0096	13.7715	29.9895	2.4325	4.2842	6.1638	26.6267	2.0514	1.2905	0.7617	1.7981	0.0007	0.8606	7.0338	79.5834	0.2533	0.2027	3.8501	0.3913	123.3918	1.6268	6.9166	0.1406	0.94	0.5293	75.4075	12.5315	5.2879	91.6127	2.7764	80.7899	52.7878	53.3101	3.8009	27.9811	253.2952	0.6654	0.1891	3.002	3.5962	5.3389	3.0283	1.2214	0.7638	16.4739	0.0765	0.249	6.2096	2.3032	36.2658	21.032	30.133	3.7429	9.1936	13.035	108.4809	6.4204	0.0391	0.0176	60.3404	0.7834	0.8485	0.1832	119.2463	0.0	0.0544	0.0	0.6356	64.9729	2.6048	1.46	1.9017	5.6571	0.5717	0.0	1.6222
ALL-CHORISMATE-PWY	3987.9292	10049.6189	8634.2918	180.3137	3474.9666	1110.1829	870.4611	6096.5454	2954.724	1498.1031	2556.3069	4058.6696	9922.9709	1527.8353	1402.1308	873.4209	1745.217	127.1727	1295.9572	913.0708	28362.0223	433.8647	2044.0257	2500.3482	885.649	37972.0911	3074.9238	5287.2556	1120.9041	3220.9907	1531.4637	4166.422	6807.6643	3843.044	21691.0362	3621.7351	3861.6588	17580.5958	11899.5049	4138.5887	10147.596	3077.5234	826.5315	1029.4325	2962.186	2906.7175	4265.3919	4123.6418	1999.906	1003.8653	12742.0452	896.0848	337.8084	1995.2697	3770.7827	13650.766	10961.9104	17336.0842	3058.2139	9612.6529	6748.5923	17054.2932	2074.4296	43.626	498.764	23248.9939	825.8173	1179.2289	535.1689	10173.1582	11.1966	411.9324	0.0	567.9752	19117.4256	2002.7749	1710.8185	1494.7166	3545.8227	1092.0511	642.4331	1057.1118
ANAEROFRUCAT-PWY	18624.051	19439.4914	17955.5585	14913.2076	12530.4716	16479.6584	15760.7117	13018.064	8800.7666	12706.6339	7890.4251	14713.9931	14432.1753	10450.3504	10146.8853	12816.0699	18977.4278	14132.0182	17659.5532	17322.8382	42294.5608	16059.2992	13904.0938	11438.5629	13984.4108	45550.8239	22513.1138	15919.6607	23306.8843	23204.1512	25570.5606	24834.1263	18898.8906	17109.9302	39798.608	15897.7783	24879.4119	26788.8291	28111.9018	18891.1818	16302.6686	20931.7722	14352.0472	23615.8255	13540.1402	16081.482	17091.0806	25950.7979	15054.006	16308.4502	32243.6483	19547.1042	14638.3422	25041.0163	12668.0256	26330.5399	23483.5508	38687.8033	12059.564	26930.7375	15920.6853	37778.9096	7829.6328	15640.0955	14597.6611	40319.6138	6555.6222	10815.5758	8622.5204	18926.1323	14243.8266	20485.5356	16666.1023	4772.4822	25643.9266	8469.1027	11074.8026	8760.4886	11695.7885	15717.0471	9335.2011	10686.8439
ANAGLYCOLYSIS-PWY	22201.313	21940.8775	20731.0477	16082.5991	15785.674	19980.4856	21506.1291	14942.7018	10175.3337	18145.2592	9620.6118	19525.1848	16353.5832	12991.2259	14182.7779	15756.1884	21703.7275	15958.2891	20639.2386	23371.5155	44844.1281	18946.0765	20028.1973	14378.088	17111.6239	45673.9483	25928.5959	18767.7004	29003.2225	30957.1874	32390.5456	31292.4172	23177.1303	21161.5572	48373.7779	22683.9118	28318.074	28435.7369	32921.4564	22708.1832	17202.0678	26636.7512	17684.0081	31681.2766	14920.659	18789.6818	21318.474	30950.1933	19221.7612	18616.9179	36067.3759	25237.1252	19275.9591	42587.5165	15977.4173	27705.9517	27828.241	47444.2854	14687.3754	38970.5295	19813.098	42934.5748	11538.2043	15554.6276	17188.2943	48654.2892	12562.2419	13531.6117	11271.6953	22009.8304	17983.5627	30956.4079	22942.3207	6161.2338	26476.5776	10297.1984	14082.062	12015.9778	16540.8337	22294.4156	12704.6718	14221.5419
ARG+POLYAMINE-SYN	7926.7712	12443.4912	9946.8573	6624.3918	4894.8135	3476.1627	2725.8017	8135.7122	5323.4263	1807.1322	4325.9882	7163.6192	10020.5169	3718.779	4608.3018	2315.3355	4038.1518	4864.343	4277.894	3241.0681	29759.811	5320.0849	3031.6141	4501.9159	4424.545	40800.3158	8740.9019	7646.9923	7162.9064	7908.8202	6671.9453	8241.8577	10404.3186	6322.1361	23550.9111	4472.8619	9966.4803	19628.8753	16304.8391	9933.4103	11704.826	7199.9144	2946.5161	11396.0107	7737.0385	7554.3202	7362.2724	12101.6429	4449.4105	6335.9618	15736.4658	3638.1163	4705.2998	6363.4825	5528.5777	17266.9004	13161.3785	21365.7915	5485.9947	10352.298	10773.5067	23196.087	4645.9424	2544.1614	5348.9224	26673.0921	3839.258	3728.5872	4276.2229	13893.2957	6068.7656	3137.9295	623.9536	1431.9789	22573.1486	4961.315	3774.4812	3314.3401	4783.4505	3012.1352	2730.0008	4460.8585
ARGDEG-PWY	192.5838	447.7338	83.7962	41.5763	115.2679	2.8383	19.8051	66.5411	1269.1681	52.3345	21.1256	38.2028	2379.941	13.0545	108.935	3.5376	9.7631	29.3885	3.896	201.1018	1706.498	1.2733	552.5524	299.1823	10.3077	614.4076	110.6427	1170.0019	8.3323	179.1645	6.4357	953.0473	68.476	235.6008	1838.9175	19.318	1191.563	676.6309	712.5248	121.327	229.8964	951.4566	2.7161	0.7144	45.166	62.8037	351.3755	16.7742	109.2224	2.9372	261.7782	0.3137	2.5396	120.0393	1217.727	508.3401	101.4306	536.9093	22.7164	43.8722	65.064	2631.7747	244.4976	0.0075	23.5527	704.597	3.9289	10.1948	63.5449	2887.2187	40.0003	27.8899	0.0	5.8607	832.8895	11.1741	33.3958	32.9617	29.95	3.4624	94.6257	87.6119
ARGORNPROST-PWY	6178.8576	4221.2272	5366.5655	947.5715	2920.5455	2038.2844	2104.1864	2973.0535	1379.1718	1435.3317	3109.8169	5895.3701	2371.6847	3534.3843	2665.0634	1876.6389	4440.2819	767.2618	2921.7692	2025.6403	2921.4154	2064.8149	2527.3219	2631.3959	3698.8579	1257.669	4500.4347	3383.5003	6143.9689	3783.7152	5818.6487	5454.155	6127.1378	4411.454	10039.5373	3506.6301	3167.8584	6427.8941	6955.6991	3868.1599	3758.3874	4046.5741	2950.442	4530.1277	1830.9044	2586.0607	3348.6038	3313.8606	4094.2475	2043.4903	6022.6561	5545.5811	4594.1888	3208.148	1748.0486	12144.6604	6120.6392	10693.745	3099.2926	5774.7927	7281.2485	8824.4132	2486.1621	9370.2589	2268.0249	11222.1248	3491.1972	2432.6862	1390.7667	6398.4226	1720.0818	3251.9898	853.0164	1138.0621	4363.9279	1992.0752	2517.3176	1086.7043	2641.3172	1452.1558	1057.1383	2283.1959
ARGSYN-PWY	15466.9872	16055.0288	15086.6102	9713.873	9787.1363	12031.2822	13802.4836	11429.8433	7474.5454	6938.0767	6659.6335	13816.7478	11871.7239	8699.8483	9563.59	9524.0363	14379.9549	11250.5109	13562.2668	15925.5336	33140.0027	10488.7793	11886.8132	8968.3766	11640.8609	39646.9038	19410.8127	13396.5722	21420.2488	23931.3253	19894.2528	20585.3524	15963.3718	14240.2641	35567.6804	13794.3882	16350.5517	22635.0583	24625.5226	17903.4152	13542.1252	16878.3384	12457.1006	22821.5559	14097.2566	16022.6036	13355.0516	22902.9507	12056.5917	10713.9258	30905.0457	18509.0796	12521.3744	23309.1026	10667.1471	21940.7156	20257.9782	33740.2157	10809.853	28054.0487	15866.9731	33005.5088	8053.3907	7378.7796	12845.5112	38481.9215	9621.0795	8575.4655	7158.485	15907.8171	12972.9894	13998.0127	3317.0216	3818.6485	22628.384	8287.1637	9136.7063	6549.5657	10165.5866	11250.0655	8312.5323	8669.6264
