#OTU ID	S0203-T6	S0204-T6	S0407-T6	S0408-T6	S0713-T6	S0714-T6	S1019-T0	S1020-T0	S1121-T0	S1121-T6	S1122-T0	S1122-T6	S1223-T0	S1223-T6	S1224-T0	S1224-T6	S1325-T0	S1326-T0	S1427-T0	S1427-T6	S1428-T0	S1428-T6	S1529-T0	S1529-T6	S1530-T0	S1530-T6	S1631-T0	S1631-T6	S1632-T0	S1632-T6	S1-T0	S10-T0	S11-T0	S12-T0	S13-T0	S14-T0	S15-T0	S16-T0	S17-T0	S19-T0	S2-T0	S20-T0	S21-T0	S22-T0	S23-T0	S24-T0	S25-T0	S26-T0	S3-T0	S4-T0	S5-T0	S6-T0	S7-T0	S8-T0	S9-T0	S0509-T0	S0510-T0	S0611-T0	S0612-T0	S0713-T0	S0714-T0	S0815-T0	S0816-T0	S0917-T0	S0918-T0
1CMET2-PWY	13123.0092	7912.0861	11167.6845	9833.4356	10229.7379	23948.7188	10765.2586	8864.2113	11429.2742	12537.4806	11573.876	14539.3804	7971.9962	12143.1669	12920.1096	4590.1652	13241.2784	10991.5447	10557.2317	14079.1292	7875.9892	13761.6538	15789.0741	12122.9195	17037.5196	11042.2721	12405.0326	11769.1591	13675.381	8590.7563	12335.9505	28245.0566	41618.9965	19403.2201	21036.9705	25471.5872	17614.7983	20281.1973	21938.0074	13815.4612	10667.4439	21863.4428	15911.4553	10761.7399	11709.4019	13681.7137	14869.6597	5754.2989	15314.947	15808.5257	26627.9549	18536.5623	11895.5371	8433.0746	16963.6225	11489.5085	14370.4387	8891.7702	13313.5672	13183.2934	11844.6909	11514.0263	13875.6661	18683.6888	12619.5876
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	129.5661	39.8473	62.5542	57.0907	55.4702	132.4164	90.3799	39.4336	94.3184	188.1049	123.6868	135.955	17.1447	28.5076	25.4847	1.87	59.0358	42.256	91.9284	125.5114	56.9526	151.1396	74.7617	83.9947	123.2078	68.3767	82.0932	82.1361	101.4481	82.3042	38.0592	283.0784	232.5049	15.4299	46.7476	167.1975	84.603	152.8472	80.1772	3.2157	61.8035	143.8985	57.4584	191.0691	58.3535	30.0041	2.9269	53.9623	317.6877	153.8388	266.4174	156.8931	28.7672	10.77	57.2031	66.8463	14.2757	45.9167	40.9139	32.2942	31.461	35.6191	67.4834	77.537	101.6322
AEROBACTINSYN-PWY	1.3443	0.5083	0.1772	0.0169	0.0852	0.3784	1.1909	0.1551	1.4654	2.9997	0.5734	1.2072	0.1036	0.1973	0.0536	0.0039	0.6929	0.4383	0.515	0.5785	0.4149	1.2403	0.3642	0.5689	1.3673	0.5038	0.6121	0.5849	0.7851	0.8973	0.0294	1.3895	1.6544	0.0021	12.5434	0.7821	0.5272	0.8679	0.5465	0.0054	0.8852	41.4568	0.3127	134.8749	0.5962	0.3374	0.0	0.9086	0.4881	3.2683	2.4391	0.2158	0.3687	0.0265	1.0524	0.8897	0.0181	0.516	0.171	0.1432	0.1311	0.1586	0.4017	0.3453	1.0394
ALL-CHORISMATE-PWY	2498.2746	627.1195	1195.5057	1848.1846	1832.9166	2323.562	1464.3216	863.6529	1824.9282	1820.3946	1778.5371	2179.5093	428.524	901.7896	715.0837	63.267	1353.8023	1206.0379	1727.0119	2483.5359	1372.8011	2620.6287	1927.821	1977.3154	1666.0351	1017.4852	2157.3894	1907.1104	1378.4768	383.0842	1214.6695	3645.7245	5338.3057	1659.9735	196.4228	3188.7349	1256.7228	2010.261	1182.0161	304.5944	963.3983	3026.9032	1360.1574	1485.2942	1142.8496	522.9101	1263.9588	654.308	3017.809	1999.905	754.5814	1720.9851	1027.1343	409.9243	1323.4455	1789.0071	7.6482	259.0339	972.8833	1445.7411	1102.8023	1792.7376	1789.7877	2817.2015	2482.8525
ANAEROFRUCAT-PWY	14782.3288	9459.7	12375.2241	11368.3917	11620.0819	26734.7113	12348.8366	9858.0456	12290.0383	12746.2167	12396.2433	15365.6212	9677.886	14851.8853	14568.7012	5208.2245	15721.8963	12813.5293	11933.2754	13946.3468	8774.5263	14902.5466	16756.3266	13003.9661	18134.6542	12910.9575	12969.2217	12926.2237	15558.4433	9678.3322	14407.4431	30079.6464	45664.2285	23221.1938	22793.9833	30417.3125	16475.257	20241.536	26942.4336	15800.0319	12354.8217	20203.9693	13581.4528	13622.6945	13332.9583	14323.8915	15274.0305	6257.6699	16100.9575	18150.2576	24992.5881	22832.0048	12853.8402	11095.1596	18554.1305	11880.7054	11457.334	9449.3166	13091.5817	14094.9376	12123.2084	12718.1703	14903.5742	18555.8979	13831.3029
ANAGLYCOLYSIS-PWY	15412.2723	10496.5204	13412.4611	12535.0399	13229.5109	30922.7631	13678.7689	10883.6695	12911.1895	13599.8219	12907.8291	17030.3008	10137.9265	16206.7671	16061.0275	5405.6984	17200.3918	13791.0106	13556.7237	17856.9676	9820.5593	16529.0352	17985.3281	13737.1538	19020.6331	13513.0626	14185.2917	13785.1067	16432.4636	10283.4533	15769.5551	31836.001	52252.75	25515.3123	23595.806	31839.5704	19901.1756	25523.5783	28561.5942	16850.2197	12653.9713	23302.6887	17746.3779	14155.3292	13547.1565	15024.0512	16841.6743	6420.9754	17869.7654	20397.5049	31852.273	23548.6254	14103.5817	11389.3046	19314.1291	13778.3664	14927.8814	10191.1454	15042.2057	15617.6878	14011.1302	13876.4982	15402.0316	23153.3629	15616.0635
ARG+POLYAMINE-SYN	4268.636	2026.2979	2874.9501	2614.4897	2884.4295	6021.3524	3327.6311	2636.9663	3428.2859	3773.7509	3260.0929	4501.8058	2225.0696	3501.3566	3604.6471	1057.3969	3915.192	3417.2793	3330.1092	4707.0353	2242.8916	3888.0213	4819.4737	3716.3858	4890.3593	3228.0392	3595.5323	3491.7012	3627.4652	2271.8866	3958.6354	9100.2838	13239.8317	5556.4116	5965.3873	7626.9882	3937.6093	5992.8438	6928.702	3699.8749	2806.7007	5548.5516	4480.0875	3365.0197	3364.619	3437.8329	4256.3034	1885.4303	4499.0587	5440.3831	8009.2067	5612.0608	3957.4938	2553.0835	4882.2227	3238.0615	2670.4084	2508.8982	2976.3194	3302.8884	2724.064	3247.7719	4649.6493	5258.3781	3920.8805
ARGDEG-PWY	9.192	11.8537	6.9079	8.1049	15.2658	31.1682	32.3087	0.0708	16.5239	13.1636	9.4286	65.7828	0.0473	0.1348	19.8127	2.1626	25.0559	14.8995	20.0733	41.1874	22.4465	11.149	2.8659	18.921	23.9771	5.7328	11.7714	47.0207	41.3176	27.5015	39.9808	58.6246	132.8745	0.0043	53.4633	58.4573	11.191	38.953	16.209	0.0075	0.0027	382.8629	21.2452	406.2384	15.8862	13.0774	0.0	6.4198	820.451	36.3601	84.2268	347.3742	10.6554	0.054	8.4396	19.7593	0.0377	0.0172	0.0494	12.5946	10.0641	0.0772	0.061	9.2552	11.8069
ARGORNPROST-PWY	3620.9756	2103.4336	2669.8812	2309.2488	2900.7435	5967.1625	3330.8384	2516.9976	2565.138	3471.8517	3181.8777	3425.2786	2636.1114	3509.1634	3637.9469	1202.9571	2857.0684	2885.1609	2775.8927	3184.4381	2023.2185	3570.0015	3464.8873	2589.6785	4092.7531	2689.0911	2775.2422	3245.7464	3032.9986	2203.0808	3289.0673	6833.3073	10654.0717	4580.2085	4312.2068	5755.5757	2972.3934	4178.625	6561.541	3243.4441	3376.7369	3840.2782	2693.7926	3572.3488	2391.4278	3726.4918	2038.1729	1659.9786	3171.2606	4442.5587	6102.7128	4036.3247	2847.4792	3326.3815	3498.5612	2597.6634	1958.2042	1694.9675	2700.4263	2149.3603	2129.2051	2367.2556	2962.5135	3581.478	3051.2078
ARGSYN-PWY	7072.2451	3336.7083	4955.8257	4607.3776	5097.7691	10562.4054	5525.3026	4145.2719	5926.794	6944.387	6189.1836	8158.7738	3168.5777	5423.887	5826.4164	1795.6285	6190.8989	5503.2192	5824.7232	7760.8493	3635.2932	7207.2714	9010.9208	7316.8811	9717.0835	5607.236	6789.3502	6283.8504	5798.1988	3886.4117	6722.6459	15380.6126	24262.1399	8184.9379	7952.0004	14450.4017	7603.6251	12304.1006	10791.8681	5602.0919	4352.7789	13984.5683	7418.6568	5619.1297	4916.6349	5077.4215	8168.705	3047.181	6826.5146	9240.5097	14218.1366	10255.6981	7250.9085	5609.727	7439.7885	6170.4554	5367.5285	4193.2179	4348.6921	5282.6472	4269.124	5515.617	7881.829	11197.3915	7485.1228
ARGSYNBSUB-PWY	6935.5854	3282.3887	4803.8847	4324.6292	4689.3695	9292.522	5213.721	3889.7426	5982.6471	7323.3018	6384.9808	8356.0771	2731.5159	4839.7115	5107.1976	1502.901	5826.6218	4865.1674	5830.4947	8065.2097	3385.8551	7454.2	8543.7283	7520.2152	10197.4857	5324.6963	7237.6713	6532.4158	5631.9032	3861.4409	6526.5163	14915.7041	25667.4816	7359.7542	6023.7829	14898.6063	7592.9556	13151.4703	10168.1252	4552.6052	4464.7783	15202.2465	7578.088	5133.3393	4366.011	4475.6193	8485.2144	3114.1857	6380.3621	9180.7354	14026.5581	10476.0168	7254.8673	5354.968	6552.9822	6222.0785	5007.3925	4181.7096	3838.4286	4712.6371	3486.0097	5317.9096	7444.8678	11769.004	7539.6488
ARO-PWY	14590.9448	9765.9907	12375.0381	11071.387	12063.882	27974.9533	12115.4596	10036.0963	12479.4583	13317.3477	12384.3259	16061.0339	9146.8913	14025.2107	14372.6968	4986.6897	15383.901	12492.4438	12480.2067	16294.6019	8850.4719	14934.5084	17141.1872	13133.2048	18449.1838	12265.8425	12893.0231	12399.5194	14624.6089	9129.9457	14333.4238	32040.1045	46317.5889	21728.2538	23308.2766	27864.639	17446.2698	22998.887	25765.1499	15422.2801	11251.9146	23143.2171	15613.5111	12639.8822	12743.1705	14480.4028	16472.3323	6249.2423	16176.0697	18802.7424	28027.9525	19956.4898	12954.7393	9454.8041	18423.6036	13087.6889	13895.7991	9781.3566	13588.2108	15073.0203	12861.155	12611.5042	15560.1041	21689.3131	14423.042
