#OTU ID	SOB07-T12	SOB07-T6	SOB21-T0	SOB21-T6	SOB23-T0	SOB23-T12	SOB23-T6	SOB24-T0	SOB25-T0	SOB25-T6	SOB26-T0	SOB26-T6	SOB27-T0	SOB27-T6	SOB28-T0	SOB28-T6	SOB29-T0	SOB29-T6	SOB30-T0	SOB30-T6	SOB31-T0	SOB31-T6	SOB32-T0	SOB32-T6	SOB33-T0	SOB33-T6	SOB34-T0	SOB35-T0	SOB02-T0	SOB02-T12	SOB02-T6	SOB04-T0	SOB04-T12	SOB04-T6	SOB05-T0	SOB05-T12	SOB05-T6	SOB06-T0	SOB06-T12	SOB06-T6	SOB07-T0	SOB08-T0	SOB08-T12	SOB09-T0	SOB09-T12	SOB09-T6	SOB10-T12	SOB01-T12	SOB01-T6	SOB03-T0	SOB03-T12	SOB03-T6	SOB12-T0	SOB12-T12	SOB12-T6	SOB25-T12	SOB26-T12	SOB27-T12	SOB28-T12	SOB29-T12	SOB30-T12	SOB31-T12	SOB32-T12	SOB33-T12	SOB34-T6	SOB35-T6	SOB36-T0	SOB36-T6
1CMET2-PWY	16395.6114	11517.5087	10983.8833	6869.517	8972.5961	10787.4886	10199.6488	14342.1857	11634.6157	7405.1731	10253.2715	12600.0469	10119.3732	16230.9264	13144.6742	6482.3383	32402.9798	9593.6165	12583.3995	14079.0337	11131.5953	16676.3533	9131.2245	17438.5211	5081.9025	12916.208	4603.9278	5654.4172	9110.5662	8427.3628	14783.96	13562.8861	14398.6782	15055.0088	12361.7745	18913.2296	16529.9447	15493.2442	11797.3831	17158.1672	18057.0118	8828.837	14046.2196	12619.2753	12611.9764	14354.6936	10974.8239	10978.7179	13102.6783	10382.0755	14523.8377	14530.0896	7753.2235	11675.7394	18071.165	13763.522	14566.9076	13725.8123	10248.6735	10861.769	14642.4513	10873.2966	11737.5642	15414.9003	14181.6412	17830.7894	16447.0318	18733.9186
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	5.1195	0.7991	38.4665	18.9852	35.4989	24.2832	14.408	33.4216	2.0621	22.6127	92.6953	105.7558	28.5878	80.1216	10.9293	28.1106	87.4234	17.1523	65.56	62.1022	35.9969	38.6382	0.9459	6.2096	8.0067	46.0946	29.8498	16.5796	19.9974	21.3496	14.1747	0.8041	70.3624	46.2648	13.4328	15.9018	20.1435	7.6525	6.9165	12.333	9.6505	8.4787	10.4073	23.1951	50.359	88.7627	29.9488	87.6633	84.7707	30.9063	37.545	40.3778	40.2264	27.5734	71.3064	35.6464	338.4676	50.8449	45.0675	30.7069	28.4952	32.3074	9.775	9.1807	64.1767	79.4443	110.9774	59.3103
AEROBACTINSYN-PWY	0.0133	0.0007	0.4306	0.139	0.4837	0.0321	0.1933	0.3026	0.0008	0.2144	1.4059	1.5187	0.1998	1.1001	0.0069	0.0	0.8608	0.3921	0.6082	0.3825	0.2896	1.6306	0.0012	0.0012	0.1151	0.603	0.323	0.2533	0.2241	0.2964	0.033	0.0	0.9723	0.5559	0.032	0.037	0.0491	0.073	0.0364	0.1266	0.0262	0.0849	0.015	0.1939	0.6653	1.2921	0.2251	1.4529	0.9919	0.2038	0.3871	0.5661	0.657	0.0649	0.8658	0.5631	3.2056	0.3114	0.0	0.3536	1.81	0.3842	0.02	0.0216	0.9164	0.6201	1.8016	0.4366
ALL-CHORISMATE-PWY	962.5916	652.151	502.0847	934.1416	596.7717	1062.0494	298.6069	1402.624	1214.4338	660.7079	1002.4351	894.5486	1388.1159	1919.3635	120.2738	153.9918	1164.0541	748.985	1117.0207	1423.4932	669.5124	709.9804	602.7061	690.281	280.3975	649.0845	811.0122	892.4863	494.0014	676.2562	1062.4578	602.473	934.3168	628.1697	1034.1002	1801.5071	1519.5076	2.9435	121.9918	298.3108	635.0779	425.4686	836.6081	362.5106	1062.1939	891.7159	728.6554	2020.1828	2299.4643	1233.2101	1050.2997	951.9107	985.3323	1683.8796	1946.5519	1032.6547	2696.6056	1016.4128	249.1513	663.2166	1076.5167	435.8076	1095.9337	365.6221	1867.5637	2412.3328	474.5425	1392.0036
ANAEROFRUCAT-PWY	18689.2087	13493.3136	12932.5283	7874.1544	10174.8495	11967.2074	11011.225	16211.3029	13775.4394	8228.5886	11831.7196	14438.4322	11664.217	18329.2529	15143.9198	7472.6345	34130.3399	11684.9964	13514.4135	16523.6796	12703.3613	17809.6488	10626.7352	19078.7837	5860.3326	14160.555	4987.4434	6403.7878	9635.108	10104.896	15377.97	12233.3164	14659.8668	16080.5814	15908.4481	23935.9821	20351.8984	14839.8517	11632.3232	18132.7018	16483.7057	10373.8674	15568.7016	13092.0855	14154.7903	15383.7653	12270.2077	12641.2033	14301.3783	11260.409	14521.7921	15645.9101	8151.4807	12446.4925	19628.1096	15175.0668	15593.7819	15127.5863	13331.0849	11663.7594	15045.4477	11679.8829	12559.8257	14258.0487	13335.0219	17963.4136	15765.7072	19982.46
ANAGLYCOLYSIS-PWY	19919.1017	14553.316	14114.7716	8449.8945	10672.5736	13010.9771	11998.5763	17798.0387	15075.485	9132.3822	13040.2922	15400.7609	12216.0619	20411.3098	15164.4013	8270.4133	38633.6832	11959.5647	15639.4433	18227.2304	14096.9848	20355.1235	11286.7831	22057.3202	6679.0419	15726.7481	5508.4498	6979.8252	10858.9711	10697.8472	17936.8955	13999.8365	16472.2907	16835.9922	17169.0911	25074.5494	20995.2509	16815.8148	13696.8866	19945.6393	19687.6117	10818.1354	16631.5984	14546.0332	15805.8759	17526.8504	13676.9715	12928.3632	14961.0598	12430.4626	16396.8804	17182.7668	8578.7592	13703.9149	21573.5622	17151.7407	16692.0238	15649.6145	13967.6752	12560.6935	17350.6311	13010.0987	13066.6699	16927.1346	15328.3932	21298.2644	18324.5386	22355.4884
ARG+POLYAMINE-SYN	5227.9778	3046.6607	3738.6343	2192.8317	3141.7116	3475.2976	3304.0283	4496.3284	2945.0442	2533.0638	3379.1038	4063.8441	3233.5071	4904.8666	3723.8615	1496.5658	9306.0531	3368.7892	3445.5194	4201.1568	3504.7607	5516.9968	2721.925	5019.5642	1487.9046	4198.8989	1308.6873	1594.9287	2298.8031	2939.9786	3977.7695	3297.2741	4308.4111	4838.402	3607.0328	6862.8727	5142.0623	3659.0016	2894.9226	4628.4043	5168.6757	2351.1173	3803.432	3834.8102	3642.5022	4332.3513	3148.3955	3903.396	3970.4803	3079.9671	3713.4278	4358.6348	2293.9894	3204.0951	5280.5263	3910.6227	5484.1986	5338.1245	2982.5378	2725.9938	3452.9276	3270.2977	3421.4573	4045.2117	3315.9207	5559.003	4006.5104	5410.633
ARGDEG-PWY	0.027	0.0015	15.3993	11.3792	5.934	14.1586	5.0129	0.088	1.5665	0.0195	8.0361	11.1824	19.9075	28.7712	25.8827	36.9252	7.1014	52.1025	15.4639	0.0735	0.0896	15.3876	0.0024	0.0024	4.6591	0.0478	10.1801	0.0055	0.0262	0.0255	14.7279	0.0	66.6362	4.0215	0.0653	0.0742	0.1001	9.9069	9.9731	10.8353	0.0534	8.4346	7.3667	0.0684	2.4333	8.9536	0.0523	21.1792	9.6976	22.4533	9.3619	6.9515	12.5487	4.7695	7.1199	10.1048	699.3204	50.7159	59.9744	0.0731	9.6932	0.0809	0.0407	2.0688	25.7764	15.2912	39.3865	30.0705
ARGORNPROST-PWY	3750.0383	3132.3918	3071.3244	1869.2795	2507.3794	2271.6001	1743.85	3660.3217	3151.4094	1869.0939	2722.6212	3948.3282	2589.559	4360.1434	3962.3033	3281.3677	7150.5786	2981.6822	2994.4408	3523.0957	2697.8135	4137.7856	2186.3281	3086.5413	900.7845	2717.9788	1221.7788	1402.1571	1777.0642	2192.8072	3179.4132	2278.9244	3319.9283	3496.9438	4052.7914	6078.13	4574.0313	3127.6399	2537.2419	3582.3604	3744.9009	1813.5095	2796.0535	2660.0636	2759.7747	3338.6373	2131.0478	3389.583	4037.2244	2591.9709	3283.2636	3107.4251	2019.4348	2693.6282	3744.8203	3343.9439	4075.2414	2892.5497	4950.3233	2574.076	3017.6018	2283.6017	2843.126	2303.7314	2861.5222	3945.0666	3568.8142	4175.9289
ARGSYN-PWY	7848.0022	4908.0625	5768.9985	3436.534	4342.5525	6114.5457	5352.3589	6575.0507	5361.8223	3919.67	5702.0784	6963.6321	5359.4443	8663.1439	7118.5471	5062.4971	14575.0461	6480.2718	5348.1539	6438.4444	5124.8624	8197.7859	3866.4044	8371.9965	2312.6553	6845.4754	1982.6973	2925.6149	3775.4825	4303.5561	5878.3976	4905.5634	6647.3661	6891.3313	5569.5723	10898.323	7527.0357	4874.6986	4377.7485	6938.4281	6464.5054	3384.0182	5638.0055	5829.4246	5912.8945	6776.52	4907.1165	6384.1339	6544.8373	5222.975	5390.284	6667.3414	3719.9761	5192.5134	9137.4904	5865.1398	8963.6461	8488.2674	6584.9654	4484.9784	5377.1218	4879.0963	4405.1291	6335.2087	4673.5372	9601.1672	6524.9943	7918.5664
ARGSYNBSUB-PWY	7155.7548	4523.2799	5465.9241	3233.4633	3855.5595	5855.1216	4965.7343	6107.7613	5103.121	3741.625	5703.2701	6958.3017	5228.6782	8367.9893	6880.8007	4792.0495	13624.3319	6338.1561	5157.8117	6125.7963	4866.5885	7608.5016	3624.4249	8247.126	2233.0371	6665.1435	1847.8573	2851.5584	3767.904	3940.2234	5354.1086	4684.6797	6635.3779	6070.1201	4879.5149	10252.707	6715.8188	3837.8675	4107.5141	6406.3727	5145.4061	3140.5458	5393.8529	5448.0945	5878.6601	6671.4075	4732.3924	6193.3633	6374.1602	5183.5469	4878.1154	6399.7528	3790.2985	5195.2418	8980.1325	5632.9624	8930.0007	8228.3501	5745.6833	4282.2662	5130.9155	4602.4858	3947.5596	5941.2836	4303.2708	9968.3628	6471.8908	7369.204
ARO-PWY	17264.0167	12659.2669	12753.9629	7885.2242	10654.5018	12398.2716	11743.7058	16218.0571	13627.2886	8509.0178	11815.6342	14563.6959	11532.3003	18838.547	14562.7699	7237.7127	35456.955	11937.9648	13469.9458	16004.1403	12848.339	18361.8255	10190.9561	20398.4338	6120.1975	14889.3504	5141.1524	6506.0346	9335.0141	9614.8824	15227.8356	13350.6636	15333.693	16967.6785	14260.1841	22506.5787	18698.8206	15471.568	11784.8331	18090.8554	18134.3028	9882.6112	15093.2418	13911.2874	14360.5942	15925.6731	12450.6282	12635.7018	13766.3958	11577.5084	14943.9633	16213.3067	8408.4775	12821.8239	20134.0229	15633.7262	16932.4384	15883.1239	11513.1121	11672.6503	14996.2492	11870.8974	12289.1445	15771.2852	13884.9324	19741.8658	17395.958	20164.9041
ASPASN-PWY	13734.364	9627.2144	9256.9248	5682.2734	7330.5134	9295.9363	8713.7473	11994.3179	9971.6424	5982.7998	9077.4374	9786.4328	7422.0333	14216.7069	10194.272	2738.6629	27550.3545	6814.8536	10636.3595	12052.8264	8633.5716	12548.8928	7280.3223	15301.8858	5300.9276	11945.6473	3807.2855	4720.5404	7769.7585	6203.2115	12873.1636	12025.7006	12565.8061	11722.2863	10552.8284	14401.021	11849.3657	12576.6265	10383.6687	13874.9564	15452.772	7002.6314	11196.2889	10082.6006	10157.4945	11918.2415	9186.1827	8720.1188	9098.4606	8812.0569	11953.1913	12670.2501	5812.1117	9397.145	14995.8161	12116.4037	12177.7619	11318.0517	5108.4398	9271.2059	12320.5412	9145.4332	9140.1348	13911.0816	11459.3805	15925.132	13766.5838	15352.337
AST-PWY	0.0865	0.005	5.7965	1.8672	5.5307	0.2118	2.4981	3.9092	0.0055	2.8452	17.4866	20.9167	2.8535	10.3532	5.0313	38.977	10.7011	6.3346	7.8716	3.7905	6.3968	2.4849	0.008	0.008	1.5145	7.5514	4.42	3.4654	2.882	3.9039	0.2173	0.0	19.704	7.0867	4.3171	7.512	8.3815	0.8452	0.2128	1.4637	0.1702	1.1367	0.0988	2.3607	8.4843	16.2874	2.9851	19.3196	13.521	2.7102	4.9219	7.2355	8.5666	0.7336	11.3473	7.3445	146.7951	3.8781	37.3423	4.3985	4.6601	4.7266	0.1321	0.1394	12.3542	8.2321	22.2453	12.4214
BENZCOA-PWY	0.0001	0.0	1.2463	0.0	0.0001	0.0002	0.0	0.0003	0.0	0.0001	0.0002	0.0002	0.0001	0.0002	0.0	0.0	0.0003	0.0	0.0002	0.0002	0.0003	0.001	0.0	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0001	0.0002	0.0	0.0	0.0	0.0002	0.0002	0.0003	0.0	0.0002	0.0001	0.0002	0.0	0.0001	0.0002	0.0002	0.0004	0.0002	0.0001	0.0001	0.0001	0.0003	0.0002	0.0001	1.8843	0.0003	0.0001	0.0001	0.0002	0.0	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0003	1.4232	0.0002
