#OTU ID	FOB07-T12	FOB21-T0	FOB21-T6	FOB23-T0	FOB23-T12	FOB23-T6	FOB24-T0	FOB25-T0	FOB26-T0	FOB26-T6	FOB27-T0	FOB27-T6	FOB28-T6	FOB29-T0	FOB29-T6	FOB30-T0	FOB30-T6	FOB31-T0	FOB31-T6	FOB32-T0	FOB32-T6	FOB33-T0	FOB33-T6	FOB34-T0	FOB35-T0	FOB01-T6	FOB02-T12	FOB02-T6	FOB03-T12	FOB03-T6	FOB04-T12	FOB04-T6	FOB05-T0	FOB05-T12	FOB05-T6	FOB06-T0	FOB06-T6	FOB08-T6	FOB09-T12	FOB09-T6	FOB10-T0	FOB10-T12	FOB10-T6	FOB11-T0	FOB11-T12	FOB11-T6	FOB12-T0	FOB12-T12	FOB12-T6	FOB13-T0	FOB13-T12	FOB13-T6	FOB14-T0	FOB14-T12	FOB14-T6	FOB15-T0	FOB15-T12	FOB15-T6	FOB16-T0	FOB16-T12	FOB17-T0	FOB17-T12	FOB17-T6	FOB18-T0	FOB18-T12	FOB18-T6	FOB20-T0	FOB22-T0	FOB22-T12	FOB22-T6	FOB36-T0	FOB25-T12	FOB26-T12	FOB27-T12	FOB28-T12	FOB29-T12	FOB30-T12	FOB31-T12	FOB32-T12	FOB34-T6	FOB35-T6	FOB36-T6
1CMET2-PWY	0.005634631412934049	0.004841771163081976	0.00497422104609973	0.005818991037613257	0.005293764624168928	0.005778079232017654	0.0065169829246922014	0.00480824204730034	0.005055007496237236	0.006643423345487948	0.005166735281062257	0.005332551137514315	0.004412634191596564	0.006124784911276281	0.005827468342643298	0.006022243873546754	0.005885692004165628	0.006131664532830694	0.005995275636680055	0.007126255268860922	0.004205820837646378	0.006265861063160257	0.006119555740001416	0.005606292481935725	0.005711915257800397	0.004071079975463048	0.00574341801108246	0.005324619012731789	0.005764674457186569	0.005820109981325003	0.0059861334517853255	0.005627446693281443	0.005163185678780765	0.005540382527071023	0.004901994756475708	0.006228521446591205	0.005796728376319867	0.004469440190445488	0.005098945136305457	0.0053067815805891445	0.0043602778088908944	0.0058154701358176	0.006182913782269047	0.005216799036729062	0.005383449460506572	0.0055269000364378896	0.0053045617095124915	0.005476534602312321	0.005844558457395853	0.006235127821379273	0.0054343950375278175	0.006067899280190102	0.006287964442170175	0.006905578158550836	0.005610355210951408	0.0046272364099046275	0.004856532506351319	0.005113560657476863	0.005346772241205716	0.005616532429671599	0.0051947699494579065	0.004866379602624327	0.0055308691330543825	0.0056843071424037	0.005799665094344581	0.004802654714708899	0.005822249706082031	0.005733849029537166	0.005754111294345912	0.004433964895179756	0.0058694012871425985	0.006629694556832057	0.005895081108071352	0.0056485380899613255	0.00420450823963794	0.005205165008294278	0.0056138110854180665	0.0058478472809461125	0.005327155355161167	0.006565789104068187	0.006107717506015818	0.006014746584668953
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2.3701966859247977e-05	4.3331551735037664e-05	1.0770061793040157e-05	8.781885385031253e-06	1.4395230335973805e-05	2.2833901463980955e-07	2.753153176638578e-07	1.1637770152125119e-05	5.497504677166171e-05	2.158272382081534e-06	2.115945241381698e-06	2.787962011445006e-06	0.00031253205208848237	2.57326604172661e-06	8.584948392765206e-06	7.882334833413438e-07	2.9399106917453726e-05	8.922821442101257e-06	9.98144323619381e-07	3.609896797266034e-05	7.966648819745896e-05	7.759052596190878e-08	5.7099959332431524e-05	5.794901028318339e-05	1.479065705646523e-05	8.04693525120487e-06	1.9120011751313945e-05	0.0002010377234457594	3.43878009954521e-06	4.5743838706792085e-06	1.5605455515151464e-07	6.616342597554304e-05	3.524814297907564e-06	4.828109482965757e-05	9.18283871588079e-05	1.6282367018535657e-06	0.0002068432461788179	3.9631196600233354e-05	4.61746937043543e-05	0.00012023507102780116	1.8211266042011906e-05	0.00010953896560392387	1.3668940320444264e-06	1.2540521950196858e-05	7.245921065876761e-06	4.535045069121522e-06	1.406645913701844e-06	7.169529298411188e-06	1.8614284431021957e-05	1.8695868302753208e-07	4.731654422396655e-06	2.117750541472355e-08	6.691692114841068e-07	1.2847141223087614e-05	0.00035299052939257933	2.4796845889711044e-05	2.121162354788974e-05	1.9063968381221694e-05	1.4653664125215418e-06	3.2861594146480627e-06	4.053046360695222e-06	0.0001361730692580814	3.856692593060595e-05	1.4178666237063037e-06	1.0721493563308885e-05	6.247557036523772e-05	3.7834947545982486e-07	1.3791479930276195e-05	4.505616338205576e-06	0.0003137859724215075	2.3322481949857293e-05	1.6638450328983792e-05	0.0	1.0062464201353554e-05	3.4654560630046826e-05	3.5038872838336216e-06	1.4394880500458985e-05	2.4872371873983448e-06	2.481909006710928e-06	6.154328108414286e-06	4.36510017587869e-05	1.5790713991951746e-05
AEROBACTINSYN-PWY	2.800050977777914e-06	7.5289817618763755e-06	4.3346488523877214e-06	2.4307480906377503e-08	5.095261796538941e-06	2.3942618281477104e-07	4.065501604701343e-07	5.870636539292425e-06	1.9244250273240057e-05	1.4028049617670892e-06	3.173177192357698e-06	2.320841694957691e-06	9.11391914464081e-06	1.2052325299659736e-06	6.976534238147819e-07	3.974825847475019e-07	6.638761696491966e-07	3.290333886186906e-10	3.316229799277455e-07	2.814499877251245e-06	9.686717501253449e-06	1.0387780246380284e-07	7.916630818672337e-08	2.1203611064876337e-06	1.817674323409372e-07	1.3469482832650146e-05	4.806527773757245e-07	2.4772764803778853e-06	3.8513022303334115e-08	2.352910734635186e-07	1.3764318620512697e-07	1.91341956099156e-05	3.8027489216423287e-06	1.955014977013925e-06	1.234084110519747e-05	9.5551486525887e-07	2.033919729163033e-05	1.0083197559520944e-05	1.0484725064576026e-05	1.1660434983068681e-06	9.315097968480059e-06	7.345330768670895e-05	3.072948472607478e-07	4.74338512100873e-08	1.303013995600884e-06	1.3207107751141681e-06	1.7916219836015877e-06	6.999888955498003e-07	4.859048301784616e-07	3.255049968006132e-07	2.9018782193518706e-06	2.4886008667071452e-08	1.0892536684287283e-07	1.1840447661076333e-06	9.782704359963837e-07	7.661973944265328e-06	4.742143777695283e-06	4.187844297785139e-06	1.8211980161465264e-06	1.6983419545058113e-06	4.360830318750493e-06	1.5400497381393255e-05	4.152490608746571e-06	2.3264198483808844e-08	7.350039018047543e-09	7.790600951715748e-06	4.7212325434091553e-07	5.14885962857303e-07	1.1999257350766993e-07	3.275697667427668e-05	0.0	1.7373135978209353e-08	0.0	8.39860049162244e-07	1.2690674010129338e-05	1.6940929182236319e-06	8.164357399509792e-07	1.1990719089602332e-06	2.383001653433424e-06	2.1285886841509356e-07	0.0	9.118534608817534e-07
ALL-CHORISMATE-PWY	0.0013017644243659978	0.0027667896812048165	0.002523386959327579	8.44503240830112e-05	0.0015857796909406574	0.00044922571230899557	0.0003505210973534168	0.002598889168841096	0.0018960452206388553	0.0008639451025359333	0.001893379102690493	0.0015282016992337931	0.0033964837721994707	0.0008976293282589071	0.0007580018235227889	0.0004557825875075349	0.0006443512469643857	5.9777234886840217e-05	0.0004993832076723417	0.00036535551970793824	0.0034521633630172953	0.00017792700988005162	0.0007983126221400245	0.0013770138635246783	0.0004114033853445405	0.004145043910464693	0.0009085140550090465	0.0018937041239375223	0.00030703701709245134	0.000806245063211713	0.00039825343515112927	0.0010572043038352388	0.002065821176692972	0.0014208303064209807	0.0029219271034614885	0.001246442056648833	0.000972188852890775	0.003358136172855928	0.0023403264537315677	0.001269639939435732	0.0033782035332619643	0.0008924538373141167	0.0003817085528234097	0.00025822288755065147	0.0012857327833354433	0.0010674971143047986	0.001431375357604777	0.0009531761943086849	0.0007956148561510451	0.000427812478744104	0.0022445118299781503	0.0002915029294017123	0.00014777471442812821	0.0003804574602644531	0.001601617417495928	0.002884034363264095	0.0024716125520641507	0.002409345945073277	0.0014880475266856534	0.0017757539716946522	0.0022577265754296985	0.0024211137423095935	0.0013416686549912631	2.5957133581960217e-05	0.0002082917534544014	0.0030016976023323283	0.0004976864324317438	0.0007155785593466803	0.00035052561993596543	0.002794568098642277	4.816316656917907e-06	0.00013155436762923026	0.0	0.0007505029568831581	0.003734064759345839	0.0013025517409728357	0.0009566940876502223	0.0009424581621268072	0.0014936453937320832	0.00040659919782658416	0.00043078160144157263	0.0005942122138878929
ANAEROFRUCAT-PWY	0.006079377494810587	0.005351942670521543	0.0052475435410167005	0.006984634084582733	0.005718203847250988	0.006668348326522524	0.006346592581971596	0.005549455192916336	0.005647448441847045	0.007327822849857307	0.005844198908857361	0.005540226594925171	0.004939916653790451	0.006139759311505763	0.005485477931500101	0.006687888394586659	0.00700665262090995	0.00664272262338144	0.0068049194240954606	0.00693154852107583	0.005148001496658701	0.0065858851559601524	0.005430368894069609	0.006299546476006441	0.0064960655351823954	0.004972340467795429	0.006651703144422026	0.00570184787723826	0.006384200247988107	0.005808223026231695	0.006649562505262201	0.006301508874124584	0.005734966751736532	0.006325794700478993	0.005361137675628388	0.005471316629534609	0.006263496639231331	0.005117035682554371	0.005528887798285126	0.005795453632882484	0.005427268947849214	0.006070023845042072	0.006628058539529672	0.005923794568854498	0.005877079341438426	0.005905952549136461	0.005735405369358223	0.005998504230313072	0.005988876886307141	0.0069500943050195855	0.005679720085359992	0.006358815745586259	0.006403561422114483	0.004774813883024822	0.005380668169036711	0.005562924591550127	0.005294901783207071	0.005376779492375074	0.005867870910895847	0.00497493923621138	0.005326229931072135	0.00536328513467986	0.005063933192937219	0.009305736215287097	0.006096214696433795	0.005205700022590029	0.003950806340686178	0.006563097418549375	0.005647589590165849	0.005199011409874977	0.006127108167821514	0.006542242565537657	0.009697477223762302	0.006306194359845712	0.005008837728041759	0.005508080047519441	0.006193057983247966	0.005523718666996036	0.004926743973715795	0.005851867868694643	0.006259691288691587	0.006007172726000527
ANAGLYCOLYSIS-PWY	0.007247089401089253	0.006040606521266088	0.006058685139570798	0.00753232120516713	0.0072036954936516425	0.008084927155642218	0.008660182484841942	0.006369906777245086	0.006529507605546399	0.010464238289130493	0.007125695798582545	0.007351773741132766	0.005597585694432893	0.00763256705606731	0.007667310004757553	0.008222148471840102	0.008013229230749088	0.007501157055899591	0.007953109235384325	0.009351862081083564	0.005458329255783513	0.007769746514532557	0.007822192599291075	0.007918427724177703	0.007948724608961956	0.004985780761170518	0.007660838230137585	0.00672191290398442	0.007944535953136997	0.007748882824209906	0.00842308312735019	0.00794026100602576	0.0070332208638302475	0.007823741232424379	0.006516270197494593	0.0078068055493160544	0.007129194292912693	0.005431617777464863	0.006474803443989542	0.006966436733068813	0.005726685041597229	0.0077244159449840095	0.008166823817323907	0.007946932630301537	0.006476291639103362	0.006900543688956836	0.007154029233594724	0.007154110103067671	0.0076469187912370585	0.00793388295558625	0.006353269872549096	0.008209821130185193	0.008432292836207682	0.008120575562572062	0.006786312516571363	0.005853511573616842	0.006274511216353879	0.006593743738588283	0.007146495749520237	0.007199060785672247	0.00662842796062714	0.00609520944957714	0.007462507787295076	0.009254883473865248	0.007178104190834329	0.006281797133372885	0.007570751247952268	0.008211239739735587	0.00738274960066216	0.006046103745085472	0.007735788773622132	0.009886211100066438	0.013349409984630923	0.008141243112284579	0.005171473263860665	0.006697025064106155	0.007874725143154498	0.007576390302713248	0.006967674967079829	0.008300794256763704	0.008519079829158224	0.007994058809388402
ARG+POLYAMINE-SYN	0.0025875055024168862	0.0034258535963311945	0.0029069865344500323	0.0031025486935426535	0.002233718113791988	0.0014065985568769445	0.0010976377957059875	0.00346816318589022	0.0034160405484702414	0.0010421599246573795	0.0032041284465357664	0.002697301360550222	0.0034298723016410885	0.002184846164840759	0.0024912805337015285	0.001208225730730799	0.0014909252819342688	0.002286473229562296	0.0016484405718045817	0.0012968787525395838	0.00362229914841154	0.002181755737595184	0.001184024154631554	0.0024793349209210856	0.002055298195570999	0.00445377369675136	0.002582578543769208	0.0027388766403176113	0.001962056713655012	0.001979654036902085	0.0017350232557686034	0.0020913213860808155	0.003157244650406833	0.0023373873867169213	0.0031724646448334274	0.0015393624966503505	0.002509103354811022	0.0037493857959812866	0.003206742346865776	0.0030473804878658937	0.0038966159619890765	0.002087909789609777	0.0013607592649546652	0.0028585757585000682	0.003358250982679171	0.00277433738023542	0.0024706229899610823	0.002797284168645472	0.0017700917417690879	0.002700166569046619	0.0027719791521494974	0.0011835058009622736	0.002058339384822073	0.001213387037545497	0.0023482303391016346	0.0036480248874428403	0.0029675327671960577	0.002969389310753698	0.002669342665908883	0.0019123892728579231	0.0036042527546314975	0.003293033862201273	0.003004833372496652	0.001513756413924424	0.0022337947923016196	0.003443785866508373	0.002313764336500376	0.002262577737854349	0.002800846018905194	0.0038164904334451345	0.002610533273155279	0.001002126395101737	0.0003630588433796242	0.001892167824659056	0.004409045467645856	0.0032267078495764275	0.0021106995557897672	0.0020897786773152707	0.002014984789135235	0.0011214967468694621	0.0018305939039578976	0.0025074893735228623
ARGDEG-PWY	6.286439075929845e-05	0.00012326688903263993	2.4489586780146308e-05	1.947235295583474e-05	5.260179906114165e-05	1.1484930449267613e-06	7.975204618786705e-06	2.8365727264619773e-05	0.0008144246671405846	3.0180923441562067e-05	1.5647092128021982e-05	1.4384414014752213e-05	0.0008146180278823733	7.669741670293849e-06	5.889103116874333e-05	1.8460475145106507e-06	3.6046323518725717e-06	1.3813996773457698e-05	1.5012818147786387e-06	8.046873545096596e-05	0.000207711206639249	5.221776781569686e-07	0.00021580430975685078	0.00016476832099673132	4.7881527276787075e-06	6.706890263736957e-05	3.269038668019982e-05	0.0004190524519080818	2.2823759298582563e-06	4.4846603756972955e-05	1.6735882362749586e-06	0.0002418299700122921	2.077939872787616e-05	8.710510648772905e-05	0.00024771443995283367	6.648406629833904e-06	0.00029998099938738517	0.00012924583027852004	0.00014013529574493427	3.722080547214538e-05	7.65340708049676e-05	0.0002759137732983095	1.2543485642394306e-06	1.792001232389549e-07	1.9604240548071127e-05	2.3064769286201457e-05	0.00011791419024499422	3.8773416543048775e-06	4.345152425387588e-05	1.2517324909698363e-06	4.6112241599204674e-05	1.0204890090013483e-07	1.1109512515428108e-06	2.2889059664426696e-05	0.0005172222660709311	0.00010739839190160513	2.2869840655092204e-05	7.461894104247207e-05	1.1053210776133733e-05	8.104550763190682e-06	2.176701679011753e-05	0.00037362005086394946	0.0001581325132174126	4.462442164413461e-09	9.835980907975474e-06	9.097112479824564e-05	2.3677879167475403e-06	6.186398838111529e-06	4.1620720984102266e-05	0.0007931194142664002	1.7206483322768822e-05	8.906893844093035e-06	0.0	7.74412805243103e-06	0.00016268212025259178	7.267338635412578e-06	1.8675016907023914e-05	2.0783219509688445e-05	1.2616163674025746e-05	1.2891421129970613e-06	6.34509812516351e-05	4.924745051746153e-05
ARGORNPROST-PWY	0.0020169407738992637	0.0011621582843286825	0.0015683882028491656	0.0004437972282018784	0.0013327730230178695	0.0008247737931095081	0.000847323017610018	0.0012673794801126407	0.0008850139978657524	0.0008277452951866767	0.002303347196556771	0.0022197703908768767	0.0008117920205050453	0.0020765111298435297	0.0014407521159964848	0.0009792979921356291	0.0016393956620514192	0.0003606496428738229	0.0011258724247793458	0.0008105383115393066	0.00035558829710230207	0.0008467762901954866	0.0009870683000614468	0.001449185611316855	0.0017182006212036571	0.00013728749402031802	0.001329694146762408	0.001211847687381303	0.0016829502935753284	0.0009471004373279064	0.0015131255365129794	0.0013839587396054665	0.0018593118670313972	0.0016309799051434386	0.0013523925677226324	0.0012068279741803045	0.0007975216826552376	0.001227816391324872	0.0013680070511107446	0.001186677550529176	0.0012511926562751659	0.0011734697398307087	0.001362572323026293	0.0011363374049946854	0.0007947015515680344	0.0009497353405231322	0.001123720650780463	0.0007659959784037244	0.0016287986214148444	0.0008708644979884578	0.001060891140485051	0.0018040180303078124	0.0020097337364876214	0.0006117287503701803	0.0007424731964505334	0.002565835347538202	0.0013800376140071242	0.0014862024697248316	0.0015080353561616954	0.001066782622801067	0.0024359255249065243	0.0012527583415968349	0.001607962864007173	0.0055752317875774	0.0009471631539149644	0.0014488981867397778	0.0021040022767550323	0.0014762003257709764	0.0009109261762105324	0.0017576476574985114	0.0007399084208242981	0.0010385525918226073	0.0004963432338043258	0.001503796241749035	0.0008523736262750824	0.0012955929395304536	0.0014076904503065911	0.00068519566675937	0.0011126307215432187	0.000540675599703367	0.0007088609379236868	0.001283405303468148
ARGSYN-PWY	0.005048829274372338	0.004420156471335062	0.004409088356168185	0.004549514113188362	0.004466299611918022	0.0048683521573657275	0.005558044693409664	0.004872414458509728	0.004796412823031234	0.004001138096559356	0.0049325888454463535	0.005202388848268105	0.004063512629507219	0.005111309435960405	0.005170144368431468	0.0049699863013693505	0.00530922049871542	0.005288276750169306	0.005226074053905565	0.006372432022855438	0.004033728693994936	0.004301426546434363	0.004642501811293594	0.004939143640677854	0.00540743520580376	0.004327866925531776	0.005735100218450323	0.004798168641925835	0.0058674147921576525	0.0059902417225975125	0.005173452375896974	0.005223408275312742	0.004844168287772858	0.005264836625528797	0.004791203537248071	0.004747422195019286	0.004116320194149289	0.004323608193752615	0.004843206710032496	0.005492425712712346	0.004508265326932201	0.004894564854508079	0.005752934815432476	0.00572455995210624	0.0061188949531568735	0.005884329353179206	0.0044816730110497595	0.005293997016585056	0.00479642716761057	0.004565902570373144	0.005443925177699523	0.006021138762681248	0.005477491164244806	0.004444573070116566	0.004530806983481487	0.004635474503409157	0.004567622920778657	0.004689170342325213	0.005259793966826678	0.005182449519335104	0.005308260633776639	0.004685629007926299	0.00520865199213709	0.004390316961193852	0.005364489120839018	0.00496843398886568	0.005798232529758321	0.005203755817226968	0.004688673785840898	0.004369879767199147	0.0055804462905917375	0.004470392979077233	0.0019300698410286124	0.005045831209791266	0.0044198341881003704	0.005389751741527162	0.005109269567640598	0.004129673579828293	0.0042821604136254725	0.004188693741342809	0.005573943771310662	0.004873276314506112
