#OTU ID	S0203-T6	S0204-T6	S0407-T6	S0408-T6	S0713-T6	S0714-T6	S1019-T0	S1020-T0	S1121-T0	S1121-T6	S1122-T0	S1122-T6	S1223-T0	S1223-T6	S1224-T0	S1224-T6	S1325-T0	S1326-T0	S1427-T0	S1427-T6	S1428-T0	S1428-T6	S1529-T0	S1529-T6	S1530-T0	S1530-T6	S1631-T0	S1631-T6	S1632-T0	S1632-T6	S1-T0	S10-T0	S11-T0	S12-T0	S13-T0	S14-T0	S15-T0	S16-T0	S17-T0	S19-T0	S2-T0	S20-T0	S21-T0	S22-T0	S23-T0	S24-T0	S25-T0	S26-T0	S3-T0	S4-T0	S5-T0	S6-T0	S7-T0	S8-T0	S9-T0	S0509-T0	S0510-T0	S0611-T0	S0612-T0	S0713-T0	S0714-T0	S0815-T0	S0816-T0	S0917-T0	S0918-T0
1CMET2-PWY	0.005960866239513397	0.005813899220765204	0.006165467339839461	0.005840507396785065	0.005570959450696847	0.005744369524971654	0.0059944982735082525	0.00617228882625075	0.006225348614330088	0.00611441793018755	0.00614098111549214	0.005929688310208395	0.0063793465008813435	0.005962945032385021	0.00617994992609859	0.00724654375683812	0.005894282660634422	0.006022455695867731	0.005568051255496903	0.005399505047465899	0.00591230408053249	0.005838797512957681	0.006066186284528775	0.005938257455640596	0.006055910598336738	0.006036850677184222	0.006080152860693419	0.006120539771348389	0.0062500397289217075	0.0061929202024579135	0.005699333780537524	0.0058989870590636425	0.005719682566613386	0.005923481939119294	0.006820124991542954	0.0058036521984265845	0.006592994899611786	0.005649135823890768	0.005891723310623627	0.006619990519210649	0.006431414766932867	0.006097951843003039	0.00672347125101643	0.005900847209479521	0.006397749205951795	0.006810213958931813	0.0061206703366688325	0.006224339119872397	0.006430787666318404	0.005512373828285704	0.006293866895977128	0.006102913317952745	0.00571745323412778	0.005663674979806363	0.006878767937501039	0.00579381563566141	0.0072018344281794535	0.0062519992250079665	0.006890414978598065	0.005963908070176195	0.006213869674583389	0.0061161575308873	0.006101363390376129	0.005524681467480611	0.005553736118453716
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	5.8852827084462975e-05	2.9280291378476947e-05	3.453499040645226e-05	3.3908663177459266e-05	3.0208226050644392e-05	3.1761562658895e-05	5.0326905710360605e-05	2.745823180668556e-05	5.137377146361848e-05	9.173708897432997e-05	6.562696049583158e-05	5.5447395420948094e-05	1.3719522590045938e-05	1.3998757754471712e-05	1.2189847823090041e-05	2.9521893515482373e-06	2.6279463491733668e-05	2.3152786512762563e-05	4.848449457027845e-05	4.8135039332866654e-05	4.275286326915413e-05	6.412554286094734e-05	2.872355885314738e-05	4.114373220982744e-05	4.37936647666573e-05	3.738179280137666e-05	4.023683136660817e-05	4.271479911538016e-05	4.6364679377022275e-05	5.933160307750048e-05	1.758373497204238e-05	5.912099387686982e-05	3.195305833916944e-05	4.7104930780235184e-06	1.5155436713411439e-05	3.809562909556059e-05	3.166582653926022e-05	4.257414295266468e-05	2.1532579035438412e-05	1.540875342809814e-06	3.7261404538357634e-05	4.013485576390434e-05	2.4279356805873214e-05	0.00010476647605586188	3.188301686779647e-05	1.4934849911761129e-05	1.2047747137344377e-06	5.837021342222774e-05	0.0001333979244525666	5.36430145978052e-05	6.297125185427953e-05	5.165493870915276e-05	1.3826624161157102e-05	7.2331601966991415e-06	2.3195921166346727e-05	3.3708590591678775e-05	7.154355541446443e-06	3.2285041826083545e-05	2.117492217959912e-05	1.4609372192223534e-05	1.650482528269843e-05	1.8920577479350368e-05	2.9673584190535436e-05	2.2927336862089254e-05	4.472716841697043e-05
AEROBACTINSYN-PWY	6.106215703771555e-07	3.7350515863508527e-07	9.782876769303006e-08	1.0037648998857284e-08	4.639862231459238e-08	9.076349538369769e-08	6.631376225296603e-07	1.0799855334579976e-07	7.981806805754395e-07	1.46292704653785e-06	3.042402192336598e-07	4.923400812928435e-07	8.290273614170904e-08	9.688486245623163e-08	2.563796486980919e-08	6.156972444405414e-09	3.0844064539520523e-07	2.401520808534606e-07	2.7161915908134376e-07	2.2186128315088e-07	3.114548408742015e-07	5.262347578691023e-07	1.3992619395113106e-07	2.786684071039105e-07	4.860007064118548e-07	2.754293087167641e-07	3.000122358429305e-07	3.041766775216483e-07	3.5881312492693497e-07	6.468472743971897e-07	1.3583097074506192e-08	2.9019741877836885e-07	2.273635511179417e-07	6.410952413074218e-10	4.0665340011253e-06	1.7819998215067775e-07	1.9732425270378108e-07	2.4174534220200094e-07	1.4676933645558952e-07	2.58753206181329e-09	5.336881454505679e-07	1.1562752137326166e-05	1.321330714603357e-07	7.395422902702093e-05	3.2575003481505405e-07	1.679443262830148e-07	0.0	9.828190406160619e-07	2.0495451012204045e-07	1.1396439949480024e-06	5.765133223196879e-07	7.104924163927646e-08	1.7721141884572094e-07	1.7797469379064738e-08	4.267493795871779e-07	4.486491107124344e-07	9.070927190973516e-09	3.6281095074905454e-07	8.850077095342781e-08	6.478135695965251e-08	6.877666299741788e-08	8.424703566976616e-08	1.7663423552070707e-07	1.0210363334252574e-07	4.574280479277145e-07
ALL-CHORISMATE-PWY	0.0011347916086330136	0.0004608152042704217	0.0006600160801410456	0.0010977176508812695	0.0009981784631167465	0.0005573324758476093	0.0008153889868526561	0.0006013750083359425	0.0009940101219307437	0.0008877902775982435	0.000943673730762465	0.0008888831891488638	0.00034291324423156106	0.00044282697090957995	0.00034203900708158904	9.988030144620445e-05	0.0006026376896370519	0.0006608088324735064	0.0009108534368960655	0.0009524640648665092	0.0010305267489815109	0.001111880923493768	0.0007406717604312559	0.0009685627225523495	0.0005921847696240365	0.0005562628925477142	0.001057414176568924	0.0009917909132141935	0.00063000327123587	0.0002761584426999085	0.0005611895827191121	0.0007614104638194022	0.000733641284396246	0.0005067624340697265	6.367970365261687e-05	0.0007265471196307929	0.0004703753553979578	0.0005599392019360948	0.000317445047899037	0.0001459532918238485	0.0005808339946421485	0.0008442362035969832	0.0005747418450000142	0.0008144123735350747	0.0006244268651264183	0.00026028388989651427	0.0005202725072404672	0.0007077551847098991	0.0012671861611081435	0.0006973593989892252	0.0001783552252366206	0.0005666111502664243	0.0004936803001033533	0.00027530623309375655	0.0005366586336397211	0.000902142794732192	3.8329428365747865e-06	0.00018213243320782077	0.0005035141643141227	0.0006540298203236082	0.0005785435708610019	0.0009522876956729571	0.0007869997065816895	0.0008330336200637519	0.0010926749782253662
ANAEROFRUCAT-PWY	0.006714579205301981	0.006951105152745065	0.006832127108510649	0.006752184944740975	0.006328119616698721	0.0064126211566121576	0.006876293680352048	0.006864311177414099	0.006694193486141816	0.00621621667215469	0.006577320856759306	0.006266659369386215	0.007744432716868147	0.0072930707780346085	0.006968504656051249	0.008222280700199274	0.006998516151837913	0.007020752280337181	0.006293798503367158	0.005348581497519739	0.006586812948934674	0.006322855762060803	0.006437806166227612	0.0063698268924595736	0.006445882214389461	0.007058467842589362	0.006356682240417664	0.006722270093977753	0.0071106529862075335	0.006976933917620147	0.006656384293289947	0.006282141592692376	0.00627561723332998	0.007089046115551147	0.0073897434595510195	0.006930526204541091	0.00616647908882348	0.005638088543627286	0.0072357238828376575	0.007570942429430139	0.007448736873526246	0.0056351066461002115	0.005738916128422054	0.007469557857081922	0.0072848232646975245	0.007129864575336403	0.006287118016744191	0.006768828007495057	0.006760835601123322	0.0063289269897498215	0.0059073264724277385	0.007517129870918998	0.006178050608782656	0.007451538235352309	0.007523720714228938	0.005991084536749935	0.005741913951196981	0.0066440223635170995	0.006775526745320392	0.006376321117246005	0.006359983360596992	0.006755789072624595	0.006553351843024978	0.005486894281850401	0.0060869981584028635
ANAGLYCOLYSIS-PWY	0.007000718526300927	0.007712973671293347	0.007404766033542339	0.007445108325613676	0.00720459013680614	0.0074171724785360126	0.007616849682994925	0.007578469123751154	0.007032524922989265	0.006632512346437235	0.006848763088968632	0.006945576275939013	0.00811256607773687	0.007958390275436796	0.0076823145301873	0.008534034895273445	0.007656660337483615	0.007556331035049354	0.00715003085687791	0.006848348737976992	0.007372043225059437	0.00701294270441173	0.006909990411848784	0.006728969533463581	0.006760799475609381	0.007387640910211112	0.00695272190655312	0.007168931364827174	0.007510105228078093	0.007413154729182866	0.007285693800852863	0.006648956685444815	0.007181075190811187	0.007789402521906062	0.0076496920598048655	0.007254584934107208	0.007448756834591658	0.007109351504036255	0.007670569494689504	0.00807416365228665	0.0076290945274307635	0.00649937316848795	0.007498827691790286	0.0077616106303669335	0.007401856258839291	0.007478376279862241	0.006932393772794128	0.006945473126180206	0.00750356282227574	0.0071125337243237935	0.007528703099776021	0.007753067545493064	0.0067787245019353	0.007649086787446837	0.007831900998376719	0.006948018244835435	0.007481200292535237	0.007165618511232274	0.007785069013392083	0.0070651886051411325	0.007350410221040001	0.007371083473057038	0.0067725319321179315	0.006846343690089888	0.006872450878507055
ARG+POLYAMINE-SYN	0.0019389431062177044	0.0014889488856609091	0.0015872055612977062	0.0015528597585637684	0.0015708163728118374	0.0014442890876348229	0.0018529493461329736	0.0018361608357293764	0.0018673342246957711	0.0018404247953150493	0.0017297721984968568	0.0018360001934531098	0.0017805439956152325	0.0017193535357385647	0.001724175666377977	0.0016693239938717198	0.001742826305853867	0.0018723858880959556	0.0017563523505884397	0.0018052011953232278	0.0016836814807811118	0.0016496105356731535	0.0018516491259982842	0.0018204241713299211	0.0017382564721771256	0.0017647808760750618	0.0017622997620788667	0.001815855821361519	0.001657855208222786	0.0016377617908720588	0.0018289295551284575	0.0019005965231454521	0.0018195449416803038	0.0016962804930977897	0.0019339613091610766	0.0017377946056814086	0.0014737970647988592	0.0016692500002236888	0.0018607886459991144	0.0017728786904533775	0.001692163230250577	0.00154755135157476	0.0018930851352288352	0.0018450982174907063	0.0018383508158158208	0.0017112167464851304	0.0017519856197006777	0.0020394417770134864	0.0018891669163466588	0.0018970412539031293	0.0018930812036251502	0.0018476953840292454	0.001902123925606574	0.0017146575627715259	0.0019797467771108294	0.0016328576063922347	0.0013382917219096175	0.0017640615140980455	0.0015403892485593197	0.0014941731315523434	0.0014290772823142496	0.001725190133080481	0.0020445288761386377	0.001554878394146444	0.001725534648136272
ARGDEG-PWY	4.175283400213355e-06	8.710246112360241e-06	3.813720904890984e-06	4.813854518984522e-06	8.313522165846296e-06	7.476043279117775e-06	1.7990691498046885e-05	4.9299146208140715e-08	9.00031237052034e-06	6.419770800348583e-06	5.002719447273255e-06	2.682861920118527e-05	3.7850380497131644e-08	6.619401651849986e-08	9.476815421195307e-06	3.414120155966961e-06	1.1153496849412215e-05	8.163691372749569e-06	1.0586976438810753e-05	1.5795833040014788e-05	1.6850014667830237e-05	4.730300181796841e-06	1.1010831390569645e-06	9.268210460209336e-06	8.522553600312795e-06	3.1341427967674974e-06	5.7695867227601245e-06	2.4453069414843852e-05	1.8883323360694343e-05	1.9825331903303592e-05	1.847153358899378e-05	1.2243762214404004e-05	1.82608910620291e-05	1.3127188274390066e-09	1.7332647229807085e-05	1.3319383475996438e-05	4.1886489226252164e-06	1.0849989992850033e-05	4.35312749242205e-06	3.5937945302962357e-09	1.6278332497927401e-09	0.00010678462436265931	8.977273840067556e-06	0.00022274750656475404	8.679856093725111e-06	6.5094105884217485e-06	0.0	6.944201713567021e-06	0.0003445095939031719	1.2678630976565452e-05	1.990811049008072e-05	0.00011436827374907481	5.121395585486018e-06	3.626654137620739e-08	3.4222672595628536e-06	9.964024247836579e-06	1.889358867954152e-08	1.2093698358301817e-08	2.556688938654581e-08	5.697592726005863e-06	5.279749916646173e-06	4.10080148405167e-08	2.6822724338469336e-08	2.7367203802830706e-06	5.196081603884676e-06
ARGORNPROST-PWY	0.00164475623534134	0.0015456291568883896	0.0014739909011444036	0.0013715638405581293	0.0015797007287324978	0.0014312910307149153	0.0018547352906259952	0.0017526247554793682	0.0013971909339497214	0.0016931912369565004	0.001688272007364306	0.0013969532342400903	0.0021094676431887183	0.0017231870924756315	0.001740103634709538	0.0018991214657697048	0.001271808372397527	0.0015808290981794277	0.0014640497881049336	0.001221267974037252	0.0015187784911333832	0.0015146810247075966	0.0013312149707814683	0.0012685209746989706	0.0014547508942948208	0.0014701359721107636	0.001360246066700953	0.0016879472662503863	0.0013861669921857328	0.001588160939214065	0.0015195823272273464	0.00142713792024425	0.001464184946552929	0.0013982618445456212	0.0013980049725021704	0.001311396863581223	0.0011125290333775628	0.0011639165002406224	0.0017621830168273473	0.0015541695554535464	0.0020358387413415046	0.0010710953321283138	0.0011382765913499316	0.0019587803314004564	0.0013066214174902518	0.0018548996880562512	0.000838955609053534	0.0017955740425877104	0.0013316209029754725	0.0015491036149248856	0.001442456328765071	0.0013289055094758112	0.001368608161555949	0.002234006524125941	0.0014186704879777393	0.001309923990491445	0.0009813661725557204	0.0011917689344258682	0.0013976012248708334	0.0009723357320475266	0.0011170070298633368	0.0012574670048717132	0.0013026669337621963	0.0010590266913881332	0.0013428016430400388
ARGSYN-PWY	0.0032124268459824026	0.002451854737183761	0.002736017613614267	0.0027365230268637563	0.002776167407487084	0.0025335117171343645	0.0030766949617272235	0.0028864175913926164	0.003228232884229856	0.003386715859561236	0.0032839179897826503	0.0033274447945178275	0.00253555753868343	0.0026634188848106578	0.0027868928914194053	0.002834778255099751	0.00275584478610545	0.0030153081046605445	0.0030720512960496966	0.002976373351838563	0.002728921824866394	0.003057902701020645	0.003462009477043056	0.0035840808597393365	0.0034538941309610028	0.0030654964972047505	0.0033277048414027894	0.0032679103038384012	0.0026499424664063235	0.0028016436145440193	0.0031059303352799677	0.003212244746851426	0.003334336487780647	0.002498726065755601	0.0025780155303635364	0.0032924962600819887	0.002845940137893044	0.0034271909321751874	0.0028982896983590915	0.00268436896379158	0.002624295637931951	0.003900448105025201	0.003134793441298706	0.0030810655263976876	0.0026863367827036394	0.00252733886506341	0.0033624138945492054	0.0032960901463828882	0.002866471943626218	0.0032221311966048917	0.003360643339125559	0.0033765503822352568	0.0034850658616910717	0.003767507339902366	0.003016842575669727	0.003111576180623512	0.0026899701778439387	0.0029483437461181273	0.002250658499936146	0.0023897838963345595	0.0022396346502073883	0.002929851085370547	0.003465772566392679	0.00331101753868727	0.0032941169048520576
