#OTU ID	SOB07-T12	SOB07-T6	SOB21-T0	SOB21-T6	SOB23-T0	SOB23-T12	SOB23-T6	SOB24-T0	SOB25-T0	SOB25-T6	SOB26-T0	SOB26-T6	SOB27-T0	SOB27-T6	SOB28-T0	SOB28-T6	SOB29-T0	SOB29-T6	SOB30-T0	SOB30-T6	SOB31-T0	SOB31-T6	SOB32-T0	SOB32-T6	SOB33-T0	SOB33-T6	SOB34-T0	SOB35-T0	SOB02-T0	SOB02-T12	SOB02-T6	SOB04-T0	SOB04-T12	SOB04-T6	SOB05-T0	SOB05-T12	SOB05-T6	SOB06-T0	SOB06-T12	SOB06-T6	SOB07-T0	SOB08-T0	SOB08-T12	SOB09-T0	SOB09-T12	SOB09-T6	SOB10-T12	SOB01-T12	SOB01-T6	SOB03-T0	SOB03-T12	SOB03-T6	SOB12-T0	SOB12-T12	SOB12-T6	SOB25-T12	SOB26-T12	SOB27-T12	SOB28-T12	SOB29-T12	SOB30-T12	SOB31-T12	SOB32-T12	SOB33-T12	SOB34-T6	SOB35-T6	SOB36-T0	SOB36-T6
1CMET2-PWY	0.006359759494194869	0.006292926759730057	0.0059374998734402825	0.005845981135834442	0.006048508353908804	0.005984679006276398	0.006238980661714154	0.005990156227567936	0.005793287445254673	0.005960162527680608	0.005753367713900838	0.005942681272131488	0.0059632617955530575	0.0057161275377466065	0.00627929771966972	0.006310193857241134	0.006386532678802335	0.0058226117090529	0.006199543544204735	0.006010619752898516	0.006099854895971695	0.006307274733893954	0.006141412380230197	0.0059312353060236534	0.0057007548005078325	0.005833779488554031	0.006028872251884006	0.005884176482596865	0.00632475856994338	0.0061761160068005295	0.006450367811552592	0.007090961649001361	0.006412854519972775	0.006392242725162738	0.005842242130107187	0.005858605026030872	0.006253601086093841	0.00727095934841592	0.006762062435681778	0.0066547908232232654	0.007015721799127697	0.006419444020069722	0.006628499234407213	0.006386149737371612	0.006094809256465521	0.00604341422489212	0.0061243188097083985	0.005820911106962353	0.006256834656014924	0.005909284189664281	0.00677407918102916	0.006055591576487622	0.00630093218523516	0.006241535118626626	0.006094052024353501	0.0059978942351948065	0.00578567761394608	0.005943404651134296	0.0061489880184120455	0.006364808128946642	0.00658683269246261	0.006476006182238184	0.006537387145395261	0.006806412608902069	0.006987502039271931	0.0058881283581794066	0.006544512391810264	0.006449149964735679
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1.985823397261698e-06	4.366115889020591e-07	2.079363305705284e-05	1.615646646773624e-05	2.3930130233386212e-05	1.3471824873605061e-05	8.813169466577861e-06	1.395886300477092e-05	1.0267926632814922e-06	1.8200164313469364e-05	5.201365693382374e-05	4.9878624823157067e-05	1.6846550887056096e-05	2.8216829578397847e-05	5.2209988260938625e-06	2.7364097218339042e-05	1.7230896801411086e-05	1.0410170431264169e-05	3.229986258944274e-05	2.65126654266375e-05	1.9725462594279138e-05	1.4613611155811948e-05	6.361865235554928e-07	2.1120253572583326e-06	8.981721601551007e-06	2.0819247569650678e-05	3.908849981189696e-05	1.7253288705131798e-05	1.3882641786477083e-05	1.5646366417117885e-05	6.1845424783626664e-06	4.204003646364025e-07	3.133786508793094e-05	1.9643683717482056e-05	6.348414629736518e-06	4.925777742524615e-06	7.620679667351294e-06	3.591308295118257e-06	3.964421977310631e-06	4.783350941049959e-06	3.7495253352208494e-06	6.16485954072605e-06	4.911270224071264e-06	1.1738184503614743e-05	2.433627288950106e-05	3.736964220677143e-05	1.6712432093620644e-05	4.6479040748735596e-05	4.047998748276101e-05	1.759129086963596e-05	1.751140491274836e-05	1.682793928243236e-05	3.269141131506704e-05	1.4739995347955386e-05	2.4046314184467932e-05	1.553405713054029e-05	0.00013443240460769148	2.2016315576926415e-05	2.703954980318037e-05	1.799371048442953e-05	1.281842166265293e-05	1.9241903337028617e-05	5.444311805871842e-06	4.053716275968858e-06	3.16207987354625e-05	2.6234297609151963e-05	4.41595163396525e-05	2.041756598395076e-05
AEROBACTINSYN-PWY	5.158990366946105e-09	3.8246541387991656e-10	2.3276717128844454e-07	1.1828944857127328e-07	3.2606655400276943e-07	1.7808426337662352e-08	1.1823887131381874e-07	1.2638389380651077e-07	3.983483490738537e-10	1.7256299463610413e-07	7.888857394416199e-07	7.162790836902433e-07	1.1774046506670007e-07	3.8742778750293893e-07	3.2961755922197806e-09	0.0	1.6966116585095825e-07	2.3797553833005957e-07	2.996457661210963e-07	1.6329686429287278e-07	1.586940533019021e-07	6.167200943798356e-07	8.07087248405319e-10	4.0814713165260224e-10	1.2911638457023753e-07	2.723530800679333e-07	4.229705203801271e-07	2.635924889026204e-07	1.5557522599685533e-07	2.1722107234017228e-07	1.439818139261981e-08	0.0	4.330410307919465e-07	2.3603093017906214e-07	1.512337473583829e-08	1.1461204170182668e-08	1.85754894465683e-08	3.425880503673738e-08	2.086387045096609e-08	4.910177808618542e-08	1.0179530986247993e-08	6.17307576642223e-08	7.078594194562371e-09	9.812563753770833e-08	3.215100052301487e-07	5.439820408276153e-07	1.2561332889043992e-07	7.703269019514204e-07	4.7365539725578113e-07	1.1599916778235531e-07	1.8054773849313862e-07	2.3592906071615987e-07	5.33934362359024e-07	3.469378814663061e-08	2.9196956824229436e-07	2.453888070101676e-07	1.273198723335456e-06	1.3483910226305657e-07	0.0	2.0720346330284992e-07	8.142193495536724e-07	2.288249522427182e-07	1.1139256891809394e-08	9.537428688545245e-09	4.5152368322425174e-07	2.047709898310531e-07	7.168827584491793e-07	1.5029951473172286e-07
ALL-CHORISMATE-PWY	0.00037338351817317583	0.00035632171732457354	0.00027140927860243216	0.0007949575161977476	0.000402289211795275	0.0005892033802759658	0.0001826536100492413	0.0005858198369678235	0.0006047096241118583	0.0005317804748308378	0.0005624914681739343	0.0004219045575323566	0.0008180050632256303	0.0006759519627478384	5.745558897732224e-05	0.00014990240642416108	0.00022943166324301573	0.00045457819070680866	0.000550329699810298	0.0006077175840581103	0.0003668771978310925	0.0002685264192909564	0.0004053636732050843	0.00023478017515357496	0.00031454310549550976	0.0002931677658364087	0.0010620255488192933	0.0009287512243525098	0.0003429468069958185	0.0004956042406905871	0.0004635593977698114	0.00031498553523639757	0.00041612414908796965	0.0002667160975018932	0.0004887214012189163	0.0005580389374900996	0.0005748594172664017	1.3813807208991297e-06	6.992365690330123e-05	0.00011569976858066698	0.0002467479069363093	0.0003093580570122018	0.0003948006159855904	0.00018345324259503443	0.0005133112375536329	0.00037541787409676785	0.00040661408444244806	0.001071099977768288	0.0010980478641919415	0.000701920241907729	0.0004898714429734486	0.00039672036272153725	0.0008007652561830297	0.0009001565809989691	0.0006564263314902029	0.0004500122622739167	0.0010710365632827681	0.00044011621541644076	0.00014948552692909818	0.00038863341753376943	0.00048426559516998106	0.0002595618252394941	0.0006103943510345585	0.00016143956970861845	0.0009201759498907808	0.0007966066364423737	0.00018882734036488103	0.0004791971268548128
ANAEROFRUCAT-PWY	0.007249432154071078	0.007372465386622153	0.006990868625171288	0.006700930805331404	0.0068589582674422195	0.006639162973533576	0.006735410324793088	0.006770811580233908	0.006859279428446146	0.006622900608416546	0.0066390745184663974	0.006809736607716932	0.0068736252963909365	0.006455105806407442	0.0072343505529411396	0.007274191832800237	0.006726990309390657	0.00709192376606684	0.006658232138909547	0.007054287752314013	0.00696114604715304	0.0067359059786629	0.0071472520600832905	0.006489125702146186	0.0065739787809826235	0.006395805588260984	0.0065310883289920445	0.006663996701959083	0.006688907204837611	0.007405520732138723	0.0067095394397050185	0.006395834691297702	0.0065291821766374925	0.006827693084479449	0.007518419440060457	0.007414464266538857	0.007699520854314261	0.006964323098142407	0.006667452865070531	0.007032763822168838	0.006404442478677201	0.007542835035455546	0.00734696805084226	0.00662542153886378	0.006840382839898779	0.0064766597349330945	0.006847186296641976	0.00670236009018313	0.006829241879213336	0.0064092152742342675	0.006773125090474106	0.006520623342064085	0.006624590030192375	0.006653558920857117	0.00661909296064268	0.006613019958003199	0.006193531072826161	0.006550385857735754	0.007998369869284424	0.006834760584873221	0.006768118585656241	0.006956399393006354	0.006995356249432487	0.006295607533058112	0.006570360327546988	0.005931923856824063	0.006273403456060217	0.006878960240829278
ANAGLYCOLYSIS-PWY	0.007726500284851112	0.007951628610378875	0.007629947651450238	0.007190887488420394	0.0071944785943620655	0.0072182251484847896	0.007339359126149692	0.007433527538086481	0.0075066182015470564	0.00735033218560379	0.0073172349062748335	0.007263608945535344	0.0071988228698177965	0.00718835432765299	0.007244134700824045	0.008050784884600265	0.007614586120851045	0.007258566303687012	0.00770518409953296	0.007781567500820197	0.007724819258450634	0.00769864693121134	0.007591182262938882	0.0075021933096441696	0.007492386989757863	0.00710319781838726	0.007213349468711478	0.007263440570758903	0.007538540307790365	0.007840073685949087	0.007826020455438362	0.007319408493284438	0.007336395910966363	0.007148434789446726	0.008114206205595189	0.007767149463479225	0.007942913676598851	0.007891640010507985	0.007850826033076193	0.007735911174531585	0.007649261578067502	0.007865862129047638	0.007848555725368854	0.007361210837517647	0.00763827933755611	0.007378911732739189	0.007632207548887932	0.006854612135149528	0.007144255189975298	0.007075188011529405	0.007647687095227254	0.007161127065233733	0.006971833064358617	0.00732574299414568	0.007275148580483116	0.007474418732943946	0.006629730282020542	0.006776428933663818	0.00838031062750424	0.0073603484012601675	0.007805093684302606	0.007748660108538653	0.0072776496368286685	0.0074741360717086505	0.00755252352201394	0.007033166719676634	0.007291599566427876	0.007695875075837516
ARG+POLYAMINE-SYN	0.0020279012863765483	0.0016646319222531091	0.002020973828362643	0.0018661068532561708	0.0021178562643839717	0.001928024339908248	0.0020210272994356715	0.0018779361897713106	0.00146644186877441	0.0020387736703932346	0.001896099864793362	0.001916669867786924	0.0019054786273797629	0.0017273717069676052	0.0017789132442183973	0.0014568231216993356	0.0018341958857073931	0.00204460449729786	0.001697525978786748	0.0017935574688697506	0.0019205272145587419	0.0020866201319693677	0.0018306924655130403	0.0017072672753134076	0.0016690952435918806	0.0018964893006780384	0.0017137342052503514	0.001659736382373552	0.00159588046320737	0.0021546062893021537	0.0017355347514857757	0.0017238841362345054	0.0019188715250637294	0.0020543488480666214	0.0017047033974643762	0.002125859059693859	0.0019453426473981	0.001717164691006988	0.00165932115637291	0.001795125441009055	0.002008194444504467	0.001709496493362316	0.001794863444974183	0.0019406559861325776	0.0017602598848231294	0.0018239465225262537	0.0017569099929750382	0.002069578737538417	0.0018959969994886109	0.0017530599626939857	0.001731983961114831	0.0018165140688372501	0.001864291883633729	0.0017128227519423301	0.0017807264771345346	0.0017041787231750673	0.0021782114599569803	0.002311457660078445	0.001789459796593288	0.001597385057415431	0.0015532820246010623	0.0019477504295210078	0.001905624590452828	0.0017861536166119852	0.0016338026273936483	0.001835708025776155	0.0015942485719956287	0.001862609973182423
ARGDEG-PWY	1.0473138338913147e-08	8.195687440283927e-10	8.324318394849382e-06	9.683735922174337e-06	4.000163182659569e-06	7.854902964000817e-06	3.066319906927274e-06	3.675407354584583e-08	7.800158610302397e-07	1.569486191886208e-08	4.50925719519653e-06	5.274062833645734e-06	1.1731322864441098e-05	1.0132499190804978e-05	1.2364336811702452e-05	3.59446174256904e-05	1.399665198854548e-06	3.162234247855631e-05	7.618698064320982e-06	3.137861313863045e-08	4.909871262379291e-08	5.819846758419697e-06	1.614174496810638e-09	8.162942633052045e-10	5.226465224597686e-06	2.1589514473046785e-08	1.3330904627002265e-05	5.723484757064398e-09	1.8188625261568987e-08	1.8688047721573524e-08	6.425908355526221e-06	0.0	2.967829757899651e-05	1.7074984452511215e-06	3.0861136570320007e-08	2.29843607953393e-08	3.7869786020396877e-08	4.649295282444569e-06	5.716413911937635e-06	4.202468373595931e-06	2.0747593689528353e-08	6.132794447522372e-06	3.476391990205508e-06	3.461471690345153e-08	1.1759060509943194e-06	3.769520625922248e-06	2.9185149271301683e-08	1.1229201955956722e-05	4.630830305905498e-06	1.2780000559212749e-05	4.3664941177962145e-06	2.89712217906445e-06	1.0198146321057358e-05	2.549645956322877e-06	2.40100961992182e-06	4.4034892862304046e-06	0.00027775575258374107	2.1960457374640175e-05	3.598337550820127e-05	4.283533135587762e-08	4.360437016073843e-06	4.8183078179166845e-08	2.2668387774832116e-08	9.13473725502889e-07	1.270040928444086e-05	5.049498725535558e-06	1.5672459350387766e-05	1.0351767195923665e-05
ARGORNPROST-PWY	0.001454617403411951	0.001711473608887224	0.0016602496346892225	0.0015907628869106865	0.0016902471791100508	0.001260237478176836	0.0010666883380269158	0.0015287696927642664	0.0015691984146822796	0.001504367726866021	0.0015277310182668972	0.0018621879931549007	0.0015260054102985924	0.0015355337793450973	0.001892818467598825	0.003194227969232872	0.001409358157278012	0.0018096593386231993	0.0014752902131211253	0.0015040796873560878	0.0014783389480925106	0.001564979471210306	0.001470464608616858	0.0010498024819352453	0.001010478174777664	0.0012276117707120152	0.0015999269808836137	0.0014591317797926584	0.0012336776641049573	0.0016070308077572558	0.0013872050901724182	0.0011914695295843734	0.0014786230311502155	0.0014847758551860125	0.001915371345886959	0.0018827753757543887	0.001730445420395582	0.001467797336427682	0.001454304568801183	0.0013894175780848218	0.0014550127767930534	0.0013186020667404587	0.0013194752048523864	0.001346160065192633	0.0013336768047963806	0.0014055868214822378	0.0011891959492787581	0.0017971553247279242	0.0019278688647975932	0.001475301606065174	0.0015313506015418262	0.0012950572073641036	0.0016411653459111463	0.0014399409262956851	0.0012628477317347877	0.001457230339779661	0.0016186024918155093	0.0012525009788030624	0.002970089608081083	0.0015083638631355957	0.0013574529142585585	0.0013600860227586937	0.001583515544489124	0.001017207127086227	0.0014099138404320864	0.0013027498671688879	0.0014200829085749339	0.0014375631864960543
ARGSYN-PWY	0.003044193063877582	0.0026816630791585685	0.0031185170971023677	0.002924501524146993	0.002927353998865229	0.0033922254419538967	0.0032739621065828893	0.0027461351931302854	0.002669841326540466	0.003154804072692622	0.003199579155656938	0.0032843247644327154	0.003158275597502877	0.0030509432542465058	0.0034005769859546237	0.004928057843374366	0.0028726990167953787	0.003933043025070401	0.002634909031073708	0.0027487000822065534	0.002808305203282161	0.003100539245648035	0.002600438073681849	0.002847505298067188	0.002594280548159844	0.003091851259899283	0.0025963545162144674	0.003044493142761906	0.00262102428908823	0.0031539239909517194	0.002564794998264877	0.002564731553422448	0.0029605906284021818	0.0029260070820490837	0.0026322102816013983	0.0033758893247458834	0.002847624688580302	0.002287689711647351	0.002509252131068987	0.002691067589519377	0.002511665382827003	0.0024605183443523883	0.0026606102000807145	0.002950056757880353	0.0028574398641519876	0.0028529565662945224	0.0027383351346877143	0.003384864814391932	0.003125312542903472	0.002972820183258328	0.002514088313189742	0.0027786956261719948	0.0030231705737356297	0.002775777501512182	0.0030813919229684796	0.002555921964961557	0.0035601768065107436	0.0036754988952625864	0.003950840403517381	0.002628119505991161	0.0024188710577165034	0.002905931748659873	0.002453493234324256	0.0027972963520046957	0.0023027201333801358	0.0031705217079139505	0.0025963898271809346	0.002725965843543119
